"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:02000:11014:1:110075","de:02000:11014:1:110075",2,120,,,,
"de:02000:11014:1:110075","de:02000:11014:1:110074",2,120,,,,
"de:02000:11014:1:110075","de:02000:11014:2:110139",2,120,,,,
"de:02000:11014:1:110075","de:02000:11909:1:119018",2,180,,,,
"de:02000:11014:1:110075","de:02000:11909:1:119019",2,180,,,,
"de:02000:11017::110079","de:02000:11017::110079",2,120,,,,
"de:02000:11017::110079","de:02000:11017::110078",2,120,,,,
"de:02000:11017::110079","de:02000:11911:1:119022",2,240,,,,
"de:02000:11017::110079","de:02000:11911:1:119023",2,240,,,,
"de:02000:11017::110078","de:02000:11017::110079",2,120,,,,
"de:02000:11017::110078","de:02000:11017::110078",2,120,,,,
"de:02000:11017::110078","de:02000:11911:1:119022",2,240,,,,
"de:02000:11017::110078","de:02000:11911:1:119023",2,240,,,,
"de:02000:11001::100001","de:02000:11001::100001",2,120,,,,
"de:02000:11001::100001","de:02000:10001::100132",2,180,,,,
"de:02000:11001::100001","de:02000:10011::100133",2,120,,,,
"de:02000:11001::100001","de:02000:10906:1:109014",2,480,,,,
"de:02000:11001::100001","de:02000:10906:1:109015",2,480,,,,
"de:02000:11001::100001","de:02000:10906:2:109016",2,480,,,,
"de:02000:11001::100001","de:02000:10906:2:109017",2,480,,,,
"de:02000:11001::100001","de:02000:11001::110001",2,120,,,,
"de:02000:11001::100001","de:02000:10905:1:109013",2,480,,,,
"de:02000:11001::100001","de:02000:10905:2:109012",2,480,,,,
"de:02000:11001::100001","de:02000:10950:99:99",2,360,,,,
"de:02000:10002:2:100008","de:02000:10002:4:100009",2,120,,,,
"de:02000:10002:2:100008","de:02000:10002:3:100028",2,120,,,,
"de:02000:10002:2:100008","de:02000:10001::100132",2,420,,,,
"de:02000:10002:2:100008","de:02000:10092::100223",2,300,,,,
"de:02000:10002:4:100009","de:02000:10002:2:100008",2,120,,,,
"de:02000:10002:4:100009","de:02000:10002:4:100009",2,120,,,,
"de:02000:10002:4:100009","de:02000:10002:3:100028",2,120,,,,
"de:02000:10002:4:100009","de:02000:10001::100132",2,420,,,,
"de:02000:10002:4:100009","de:02000:10906:1:109014",2,300,,,,
"de:02000:10002:4:100009","de:02000:10906:1:109015",2,300,,,,
"de:02000:10002:4:100009","de:02000:10906:2:109016",2,300,,,,
"de:02000:10002:4:100009","de:02000:10906:2:109017",2,300,,,,
"de:02000:10002:4:100009","de:02000:10905:1:109013",2,420,,,,
"de:02000:10002:4:100009","de:02000:10905:2:109012",2,420,,,,
