lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,1271,1210,Brewer Park,1382
P7,Bronson Ave & University Dr,9510,9449,Brewer Park,9978
P7,Bronson Ave & University Dr,11067,11006,Brewer Park,11541
P1,Colonel By,145,84,Hogs Back Plaza (SW dest.),326
P7,Bronson Ave & University Dr,10795,10734,Brewer Park,11267
P7,Bronson Ave & University Dr,289,228,Brewer Park,3415
P5,Stadium Way,2381,2320,Brewer Park,2487
P1,Colonel By,133,72,Hogs Back Plaza (SW dest.),312
P7,Bronson Ave & University Dr,10896,10835,Brewer Park,11369
P5,Stadium Way,2393,2332,Brewer Park,2500
P5,Stadium Way,1740,1679,Brewer Park,1846
P7,Bronson Ave & University Dr,9898,9837,Brewer Park,10376
P5,Stadium Way,1574,1513,Brewer Park,1681
P5,Stadium Way,1151,1090,Brewer Park,1263
P7,Bronson Ave & University Dr,5404,5343,Brewer Park,5888
P7,Bronson Ave & University Dr,3393,3332,Brewer Park,3866
P5,Stadium Way,3049,2988,Brewer Park,3165
P5,Stadium Way,1148,1087,Brewer Park,1255
P5,Stadium Way,1292,1231,Brewer Park,1399
P1,Colonel By,283,222,Hogs Back Plaza (SW dest.),519
P7,Bronson Ave & University Dr,11654,11593,Brewer Park,12444
P7,Bronson Ave & University Dr,3229,3168,Brewer Park,3714
P5,Stadium Way,2197,2136,Brewer Park,2309
P1,Colonel By,161,100,Hogs Back Plaza (SW dest.),349
P7,Bronson Ave & University Dr,11593,11532,Brewer Park,12070
P7,Bronson Ave & University Dr,10524,10463,Brewer Park,11004
P2,Colonel By,565,504,Hogs Back Plaza (SW dest.),931
P5,Stadium Way,1637,1576,Brewer Park,1741
P7,Bronson Ave & University Dr,9961,9900,Brewer Park,10741
P5,Stadium Way,353,292,Brewer Park,455
P5,Stadium Way,1754,1693,Brewer Park,1858
P5,Stadium Way,1599,1538,Brewer Park,1702
P7,Bronson Ave & University Dr,11824,11763,Brewer Park,12625
P5,Stadium Way,411,350,Brewer Park,525
P7,Bronson Ave & University Dr,5255,5194,Brewer Park,5727
P5,Stadium Way,1244,1183,Brewer Park,1355
P7,Bronson Ave & University Dr,9790,9729,Brewer Park,10257
P2,Colonel By,548,487,Hogs Back Plaza (SW dest.),905
P5,Stadium Way,2193,2132,Brewer Park,2304
P5,Stadium Way,2276,2215,Brewer Park,2384
P7,Bronson Ave & University Dr,11455,11394,Brewer Park,11928
P5,Stadium Way,142,81,Brewer Park,166
P7,Bronson Ave & University Dr,135,74,Brewer Park,3196
