lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,786,725,Brewer Park,899
P5,Stadium Way,2027,1966,Brewer Park,2147
P5,Stadium Way,1136,1075,Brewer Park,1248
P5,Stadium Way,1498,1437,Brewer Park,1608
P5,Stadium Way,2785,2724,Brewer Park,2886
P3,Stadium Way,4026,3965,Brewer Park,4141
P5,Stadium Way,1668,1607,Brewer Park,1772
P5,Stadium Way,572,511,Brewer Park,688
P5,Stadium Way,360,299,Brewer Park,469
P2,Colonel By,660,599,Hogs Back Plaza (SW dest.),1106
P7,Bronson Ave & University Dr,10292,10231,Brewer Park,11076
P7,Bronson Ave & University Dr,11586,11525,Brewer Park,12067
P7,Bronson Ave & University Dr,10744,10683,Brewer Park,11225
P7,Bronson Ave & University Dr,9993,9932,Brewer Park,10459
P7,Bronson Ave & University Dr,10037,9976,Brewer Park,10506
P7,Bronson Ave & University Dr,11633,11572,Brewer Park,12102
P7,Bronson Ave & University Dr,135,74,Brewer Park,4501
P5,Stadium Way,1890,1829,Brewer Park,1998
P5,Stadium Way,1273,1212,Brewer Park,1383
P4,Stadium Way,4067,4006,Brewer Park,4176
P5,Stadium Way,2527,2466,Brewer Park,2632
P5,Stadium Way,789,728,Brewer Park,902
P7,Bronson Ave & University Dr,9137,9076,Brewer Park,9606
P5,Stadium Way,1115,1054,Brewer Park,1227
P5,Stadium Way,2382,2321,Brewer Park,2501
P5,Stadium Way,1307,1246,Brewer Park,1415
P2,Colonel By,538,477,Hogs Back Plaza (SW dest.),892
P4,Stadium Way,4129,4068,Brewer Park,4233
P5,Stadium Way,571,510,Brewer Park,684
P5,Stadium Way,2251,2190,Brewer Park,2367
P5,Stadium Way,1328,1267,Brewer Park,1440
P4,Stadium Way,4098,4037,Brewer Park,4208
P4,Stadium Way,4197,4136,Brewer Park,4304
P5,Stadium Way,299,238,Brewer Park,380
P7,Bronson Ave & University Dr,11809,11748,Brewer Park,12603
P2,Colonel By,606,545,Hogs Back Plaza (SW dest.),1015
P5,Stadium Way,1836,1775,Brewer Park,1946
P7,Bronson Ave & University Dr,10846,10785,Brewer Park,11320
P7,Bronson Ave & University Dr,10655,10594,Brewer Park,11120
P3,Stadium Way,3420,3359,Brewer Park,3538
P7,Bronson Ave & University Dr,9227,9166,Brewer Park,9698
P7,Bronson Ave & University Dr,8718,8657,Brewer Park,9191
P7,Bronson Ave & University Dr,10271,10210,Brewer Park,11055
P7,Bronson Ave & University Dr,9772,9711,Brewer Park,10243
P7,Bronson Ave & University Dr,8384,8323,Brewer Park,8847
P7,Bronson Ave & University Dr,11392,11331,Brewer Park,11866
P7,Bronson Ave & University Dr,11107,11046,Brewer Park,11595
P4,Stadium Way,4158,4097,Brewer Park,4271
P5,Stadium Way,175,114,Brewer Park,213
P7,Bronson Ave & University Dr,11458,11397,Brewer Park,11918
P1,Colonel By,214,153,Hogs Back Plaza (SW dest.),410
P4,Stadium Way,4244,4183,Brewer Park,4360
P5,Stadium Way,181,120,Brewer Park,217
P7,Bronson Ave & University Dr,10752,10691,Brewer Park,11238
P7,Bronson Ave & University Dr,8831,8770,Brewer Park,9292
P1,Colonel By,137,76,Hogs Back Plaza (SW dest.),318
P7,Bronson Ave & University Dr,11711,11650,Brewer Park,12173
P2,Colonel By,569,508,Hogs Back Plaza (SW dest.),952
P7,Bronson Ave & University Dr,9466,9405,Brewer Park,9938
P7,Bronson Ave & University Dr,8868,8807,Brewer Park,9342
P7,Bronson Ave & University Dr,11080,11019,Brewer Park,11556
P7,Bronson Ave & University Dr,11733,11672,Brewer Park,12199
P7,Bronson Ave & University Dr,9281,9220,Brewer Park,9761
P7,Bronson Ave & University Dr,11792,11731,Brewer Park,12579
P5,Stadium Way,652,591,Brewer Park,766
P7,Bronson Ave & University Dr,113,52,Brewer Park,4476
P7,Bronson Ave & University Dr,11059,10998,Brewer Park,11534
P1,Colonel By,275,214,Hogs Back Plaza (SW dest.),484
P5,Stadium Way,2402,2341,Brewer Park,2518
P7,Bronson Ave & University Dr,11454,11393,Brewer Park,11908
P5,Stadium Way,1151,1090,Brewer Park,1267
P7,Bronson Ave & University Dr,9469,9408,Brewer Park,9942
P4,Stadium Way,4118,4057,Brewer Park,4228
P5,Stadium Way,1235,1174,Brewer Park,1352
P2,Colonel By,559,498,Hogs Back Plaza (SW dest.),935
P7,Bronson Ave & University Dr,203,142,Brewer Park,4596
P7,Bronson Ave & University Dr,9995,9934,Brewer Park,10463
P7,Bronson Ave & University Dr,10216,10155,Brewer Park,10999
P3,Stadium Way,3592,3531,Brewer Park,3705
P4,Stadium Way,4324,4263,Brewer Park,4433
P7,Bronson Ave & University Dr,10904,10843,Brewer Park,11379
P5,Stadium Way,2224,2163,Brewer Park,2338
P1,Colonel By,203,142,Hogs Back Plaza (SW dest.),397
P5,Stadium Way,2648,2587,Brewer Park,2761
P2,Colonel By,492,431,Hogs Back Plaza (SW dest.),809
P5,Stadium Way,3159,3098,Brewer Park,3268
P7,Bronson Ave & University Dr,10991,10930,Brewer Park,11464
P7,Bronson Ave & University Dr,11859,11798,Brewer Park,12643
P7,Bronson Ave & University Dr,8669,8608,Brewer Park,9140
P1,Colonel By,360,299,Hogs Back Plaza (SW dest.),591
P7,Bronson Ave & University Dr,10171,10110,Brewer Park,10948
P1,Colonel By,444,383,Hogs Back Plaza (SW dest.),690
P5,Stadium Way,2355,2294,Brewer Park,2473
P4,Stadium Way,2769,2708,Brewer Park,2878
P5,Stadium Way,3167,3106,Brewer Park,3277
P7,Bronson Ave & University Dr,9630,9569,Brewer Park,10103
P3,Stadium Way,3198,3137,Brewer Park,3309
P7,Bronson Ave & University Dr,8369,8308,Brewer Park,8838
P7,Bronson Ave & University Dr,11913,11852,Brewer Park,12706
P7,Bronson Ave & University Dr,155,94,Brewer Park,4533
P7,Bronson Ave & University Dr,8184,8123,Brewer Park,8633
P7,Bronson Ave & University Dr,11398,11337,Brewer Park,11874
P7,Bronson Ave & University Dr,128,67,Brewer Park,4492
P7,Bronson Ave & University Dr,11383,11322,Brewer Park,11858
P7,Bronson Ave & University Dr,9769,9708,Brewer Park,10239
P7,Bronson Ave & University Dr,9977,9916,Brewer Park,10447
P1,Colonel By,448,387,Hogs Back Plaza (SW dest.),694
P5,Stadium Way,1215,1154,Brewer Park,1323
P7,Bronson Ave & University Dr,4261,4200,Brewer Park,4698
P7,Bronson Ave & University Dr,11698,11637,Brewer Park,12487
P4,Stadium Way,441,380,Brewer Park,553
P5,Stadium Way,819,758,Brewer Park,940
P5,Stadium Way,343,282,Brewer Park,456
P7,Bronson Ave & University Dr,9042,8981,Brewer Park,9506
P3,Stadium Way,3624,3563,Brewer Park,3739
P7,Bronson Ave & University Dr,145,84,Brewer Park,4516
P7,Bronson Ave & University Dr,8857,8796,Brewer Park,9325
P1,Colonel By,403,342,Hogs Back Plaza (SW dest.),640
P7,Bronson Ave & University Dr,9254,9193,Brewer Park,9731
P3,Stadium Way,3601,3540,Brewer Park,3718
P7,Bronson Ave & University Dr,8849,8788,Brewer Park,9312
P7,Bronson Ave & University Dr,10001,9940,Brewer Park,10766
