id,lat,lon
1,51.8075083,5.9623166
2,50.8541237,6.0776218
3,50.829448,6.0781775
4,51.0939951,6.0816329
5,50.7499754,6.0881499
6,50.8669307,6.0973468
7,50.9813518,6.1020322
8,50.7978418,6.1039422
9,50.7796248,6.1045725
10,51.0304707,6.107651
11,50.7974426,6.1088723
12,51.0614987,6.1146939
13,50.7698116,6.1189918
14,50.8868803,6.1208886
15,50.8182504,6.1223326
16,50.8999935,6.1338741
17,50.7138651,6.1347129
18,50.7779391,6.1429696
19,51.2110018,6.1433727
20,50.9143702,6.1459092
21,50.7470065,6.169155
22,50.8743767,6.1691825
23,50.8878971,6.1725447
24,51.665793,6.1736178
25,51.7692692,6.1869862
26,51.2378251,6.1891268
27,50.6423674,6.1891369
28,51.126432,6.1923672
29,51.0619383,6.1925642
30,51.2889107,6.1958682
31,51.6522314,6.1979229
32,51.6529138,6.1992581
33,50.8546838,6.2009451
34,50.8566417,6.2014532
35,51.6201372,6.2102906
36,51.3289955,6.2111685
37,50.786913,6.2226909
38,50.9597906,6.224599
39,51.3392244,6.2258481
40,50.799031,6.2362726
41,51.3785852,6.242002
42,50.8230233,6.2482167
43,51.5841081,6.2537749
44,51.2977877,6.2564833
45,50.5753865,6.2619921
46,51.0400642,6.2822128
47,51.7375458,6.2869839
48,51.3106207,6.2909751
49,50.8196921,6.2920434
50,50.1100883,6.2921483
51,50.8325703,6.3004607
52,50.8275563,6.3069697
53,51.5165806,6.3160162
54,51.116667,6.3306292
55,51.5203035,6.3356632
56,51.136066,6.3396322
57,51.7101566,6.3400361
58,51.5233368,6.3498117
59,50.694507,6.35783
60,51.2577052,6.3756661
61,51.1953576,6.3874152
62,51.2578371,6.3977842
63,51.1742344,6.3979386
64,51.2504071,6.4021813
65,51.1959377,6.4090162
66,51.1926982,6.4094565
67,51.142969,6.4104742
68,51.1431282,6.4108923
69,51.4427112,6.4142776
70,51.1595721,6.414971
71,51.3773194,6.4156977
72,51.1948476,6.4198506
73,51.4405003,6.4224987
74,50.2044214,6.4229829
75,50.2080051,6.4267449
76,51.3507376,6.4267568
77,51.1659379,6.4293818
78,51.1200954,6.4305319
79,50.8659485,6.4343186
80,51.5402697,6.4377186
81,51.1838428,6.4403661
82,51.1811999,6.4437236
83,51.8195769,6.4454871
84,51.1589276,6.4463397
85,51.2123286,6.4483099
86,50.7977259,6.4526079
87,50.2687951,6.4555135
88,50.8412173,6.4557344
89,51.1966414,6.4580721
90,51.1998537,6.4599504
91,51.32671,6.4709077
92,51.2183269,6.4773997
93,50.8132081,6.4885037
94,51.1525633,6.4886395
95,50.8022869,6.495088
96,50.7814654,6.5086352
97,51.2370282,6.5107831
98,51.098785,6.5120031
99,51.237338,6.5136621
100,49.9800639,6.5198669
101,51.0048829,6.5198765
102,49.9731721,6.5211054
103,51.5722199,6.5213974
104,51.0049292,6.5221263
105,51.5830382,6.5227423
106,49.9564593,6.5244305
107,50.470858,6.5307972
108,50.8198601,6.5328843
109,51.5953782,6.5347391
110,51.5034285,6.5363345
111,49.5996592,6.5383818
112,51.5127551,6.5414572
113,49.9041908,6.5417796
114,51.3481024,6.5435918
115,51.5065495,6.5456239
116,51.4406087,6.5477667
117,51.3405894,6.553573
118,51.3224608,6.5543819
119,51.5526433,6.5569404
120,51.314371,6.5577086
121,50.5500892,6.5744077
122,51.353222,6.5744092
123,51.0133159,6.5772137
124,50.9430541,6.5846421
125,49.4949632,6.5857713
126,51.7411353,6.5906605
127,51.3257774,6.5916404
128,51.4902596,6.5959208
129,51.1269366,6.5975055
130,51.8386533,6.6013141
131,51.3237167,6.6041841
132,51.3368114,6.6045681
133,51.0902807,6.6046215
134,51.6633508,6.6095539
135,51.6642999,6.6099772
136,51.362686,6.610569
137,51.3448874,6.6158804
138,49.7485123,6.6237033
139,50.319969,6.6248145
140,51.3610476,6.6257007
141,51.3429641,6.6279132
142,51.3443142,6.6281197
143,51.3125556,6.6324067
144,51.3102604,6.6346336
145,51.3754636,6.6352483
146,50.8096831,6.6366933
147,51.6599088,6.6398836
148,51.6355943,6.6439098
149,51.116144,6.6496571
150,51.4497583,6.6510843
151,50.942048,6.6519829
152,50.8953596,6.6543634
153,51.4518844,6.6563409
154,51.4385811,6.6575712
155,51.4438681,6.661013
156,50.5919245,6.6612495
157,50.4501354,6.6680665
158,51.4392145,6.6688122
159,50.2953141,6.6710156
160,50.9865133,6.6716665
161,50.2246035,6.6781218
162,51.61546,6.6815799
163,51.1795955,6.6822041
164,49.8064297,6.6854502
165,50.1119716,6.6860685
166,51.4449157,6.686445
167,51.1736034,6.686887
168,51.0327363,6.6973457
169,50.282387,6.7025373
170,51.4573385,6.7127353
171,51.2318834,6.7237518
172,51.2334676,6.7279596
173,51.4833925,6.7338617
174,51.5410874,6.7362955
175,51.4530446,6.7402243
176,51.2781401,6.7419766
177,51.4334398,6.7421094
178,50.4141757,6.7428237
179,51.2416143,6.7433987
180,49.2998229,6.7485988
181,49.3000458,6.749319
182,49.5113156,6.7534266
183,49.8269996,6.7542043
184,49.5128725,6.7564613
185,51.1653829,6.757485
186,51.2081173,6.7584017
187,51.1609031,6.759021
188,51.427598,6.7594945
189,51.2740431,6.763097
190,51.2009864,6.7631954
191,51.4984792,6.7632518
192,50.5691774,6.7636262
193,51.506025,6.7637743
194,51.2000249,6.7685032
195,51.4444602,6.7720961
196,51.4694014,6.7724693
197,50.9292359,6.7753725
198,50.9284109,6.7756247
199,51.3552079,6.7805468
200,50.7995012,6.7805845
201,50.796861,6.7813795
202,51.2023822,6.7813957
203,51.254373,6.7823674
204,49.9918953,6.7854475
205,51.2025687,6.7858054
206,49.3491832,6.7874103
207,49.2820441,6.7874403
208,49.3491002,6.787582
209,50.8382754,6.793155
210,49.2745365,6.7966914
211,51.2479286,6.7967218
212,51.2415551,6.7970995
213,51.1236853,6.7975561
214,51.2128175,6.7976167
215,51.1236134,6.7976444
216,51.2384529,6.797697
217,51.2477568,6.8015216
218,51.252463,6.8015557
219,50.1903725,6.8025826
220,50.8582956,6.8046733
221,51.2202899,6.8061393
222,50.8570423,6.8061832
223,49.7260225,6.8062713
224,51.1280114,6.807349
225,51.2255107,6.8110515
226,50.8213936,6.8117548
227,51.1938127,6.8135305
228,51.2719412,6.8165038
229,51.2154489,6.8178838
230,51.2170242,6.8189664
231,51.5169,6.8203299
232,51.1693728,6.8231826
233,51.9341123,6.8233924
234,51.2131731,6.8247033
235,50.2032572,6.8267897
236,49.7978288,6.8275416
237,49.6355955,6.8338994
238,50.6861971,6.8376856
239,51.7735212,6.8384246
240,50.194502,6.8399262
241,51.852086,6.8404752
242,51.1975017,6.8411363
243,52.0340093,6.8415394
244,51.1885577,6.8424728
245,50.7613854,6.8437271
246,51.1888238,6.8452594
247,51.188595,6.8455191
248,51.4475773,6.8460339
249,50.9800026,6.8468659
250,50.9378658,6.8477788
251,51.2391372,6.8483372
252,50.9383335,6.8485325
253,49.4630462,6.8519549
254,50.9197343,6.8524314
255,51.245744,6.8549387
256,50.7527743,6.8551878
257,49.2520751,6.8565435
258,51.1703831,6.8593974
259,51.4328326,6.8607618
260,51.4729218,6.8635628
261,51.18877,6.8645387
262,49.4389809,6.8686264
263,51.3388571,6.8689803
264,50.923099,6.8692502
265,51.7447701,6.8696689
266,51.3952272,6.872763
267,51.1659704,6.8737605
268,52.5001675,6.8754501
269,51.4374878,6.8770252
270,51.2937574,6.8794776
271,51.456721,6.8800871
272,51.6845692,6.8801852
273,51.4349687,6.8806791
274,51.5399423,6.8859517
275,50.8766818,6.8874161
276,50.9377427,6.8890571
277,51.1496506,6.8939926
278,49.4125837,6.8941306
279,49.6911599,6.8962001
280,49.2492107,6.8983886
281,51.4418664,6.8984542
282,49.9883425,6.8990788
283,49.6896949,6.899976
284,51.3334938,6.903969
285,51.1382034,6.9048261
286,50.8947525,6.90483
287,51.2605816,6.9086364
288,50.9382765,6.9097702
289,51.476588,6.9110402
290,50.2844458,6.9135796
291,51.2954049,6.9149357
292,49.9890542,6.9157162
293,51.4735207,6.9158086
294,51.2236998,6.9163587
295,49.4028773,6.9164976
296,51.5439607,6.916705
297,51.1647901,6.917116
298,51.0327153,6.9194503
299,50.9364255,6.9223048
300,50.8568279,6.9235596
301,50.4029721,6.9241992
302,51.4375344,6.925318
303,49.2443833,6.9270915
304,50.9455914,6.92739
305,51.460037,6.9276146
306,49.3563746,6.9328693
307,51.6081586,6.9330653
308,51.608089,6.9333814
309,49.3412427,6.9335707
310,49.6569927,6.9382331
311,49.2975862,6.9478953
312,51.099918,6.9489562
313,50.3780403,6.9492187
314,50.6375134,6.9496299
315,51.4930831,6.9518174
316,51.3259872,6.9525618
317,51.6828512,6.955577
318,51.322044,6.9559024
319,51.2551332,6.9562054
320,49.2415749,6.957828
321,49.2095379,6.9636888
322,49.2368292,6.9649366
323,50.8303775,6.9661019
324,49.2484254,6.9661667
325,51.4401732,6.9666832
326,49.2092545,6.9669801
327,49.2161788,6.9674568
328,49.4487716,6.9675003
329,49.2085165,6.9675617
330,50.2084381,6.9703338
331,50.857873,6.9717479
332,51.4845387,6.9748509
333,51.6562236,6.9757065
334,51.442292,6.9760859
335,49.2387433,6.9768173
336,51.4822812,6.9796251
