lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Bronson Ave & University Dr,247,186,Brewer Park,4635
P7,Bronson Ave & University Dr,10276,10215,Brewer Park,10749
P5,Stadium Way,3221,3160,Brewer Park,3332
P7,Bronson Ave & University Dr,8677,8616,Brewer Park,9157
P1,Colonel By,362,301,Hogs Back Plaza (SW dest.),605
P7,Bronson Ave & University Dr,7973,7912,Brewer Park,8458
P3,Raven Rd emergency,1029,968,Brewer Park,1662
P7,Bronson Ave & University Dr,11597,11536,Brewer Park,12062
P5,Stadium Way,3244,3183,Brewer Park,3353
P7,Bronson Ave & University Dr,8696,8635,Brewer Park,9167
P7,Bronson Ave & University Dr,9101,9040,Brewer Park,9565
P5,Stadium Way,2700,2639,Brewer Park,2809
P5,Stadium Way,3755,3694,Brewer Park,3870
P7,Bronson Ave & University Dr,8803,8742,Brewer Park,9273
P3,Raven Rd emergency,520,459,Brewer Park,1232
P7,Bronson Ave & University Dr,9971,9910,Brewer Park,10452
P5,Stadium Way,2616,2555,Brewer Park,2727
P7,Bronson Ave & University Dr,11402,11341,Brewer Park,11890
P5,Stadium Way,148,87,Brewer Park,177
P6,Bronson Ave & University Dr,6946,6885,Brewer Park,7414
P3,Raven Rd emergency,1252,1191,Brewer Park,1890
P6,Bronson Ave & University Dr,5500,5439,Brewer Park,5958
P7,Bronson Ave & University Dr,9277,9216,Brewer Park,9745
P5,Stadium Way,3113,3052,Brewer Park,3229
P2,Colonel By,485,424,Hogs Back Plaza (SW dest.),826
P3,Raven Rd emergency,225,164,Brewer Park,466
P5,Stadium Way,2996,2935,Brewer Park,3104
P5,Stadium Way,2967,2906,Brewer Park,3074
P7,Bronson Ave & University Dr,10183,10122,Brewer Park,10658
P3,Raven Rd emergency,652,591,Brewer Park,1332
P7,Bronson Ave & University Dr,11252,11191,Brewer Park,11726
P5,Stadium Way,2082,2021,Brewer Park,2192
P2,Colonel By,624,563,Hogs Back Plaza (SW dest.),1082
P5,Stadium Way,2443,2382,Brewer Park,2553
P7,Bronson Ave & University Dr,11452,11391,Brewer Park,11927
P6,Bronson Ave & University Dr,4598,4537,Brewer Park,5078
P7,Bronson Ave & University Dr,9368,9307,Brewer Park,9841
P3,Raven Rd emergency,322,261,Brewer Park,740
P6,Bronson Ave & University Dr,7247,7186,Brewer Park,7714
P7,Bronson Ave & University Dr,10247,10186,Brewer Park,11031
P5,Stadium Way,2653,2592,Brewer Park,2762
P7,Bronson Ave & University Dr,10762,10701,Brewer Park,11225
P7,Bronson Ave & University Dr,10268,10207,Brewer Park,11052
P5,Stadium Way,1799,1738,Brewer Park,1904
P7,Bronson Ave & University Dr,9236,9175,Brewer Park,9707
P4,Stadium Way,3004,2943,Brewer Park,3114
P1,Colonel By,210,149,Hogs Back Plaza (SW dest.),421
