lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,1064,1003,Brewer Park,1173
P7,Bronson Ave & University Dr,5706,5645,Brewer Park,6159
P5,Stadium Way,2238,2177,Brewer Park,2352
P1,Colonel By,224,163,Hogs Back Plaza (SW dest.),436
P7,Bronson Ave & University Dr,7021,6960,Brewer Park,7499
P7,Bronson Ave & University Dr,185,124,Brewer Park,3699
P5,Stadium Way,2404,2343,Brewer Park,2512
P1,Colonel By,428,367,Hogs Back Plaza (SW dest.),690
P7,Bronson Ave & University Dr,11601,11540,Brewer Park,12366
P5,Stadium Way,226,165,Brewer Park,284
P5,Stadium Way,880,819,Brewer Park,996
P7,Bronson Ave & University Dr,11791,11730,Brewer Park,12573
P5,Stadium Way,705,644,Brewer Park,824
P5,Stadium Way,1946,1885,Brewer Park,2054
P7,Bronson Ave & University Dr,4787,4726,Brewer Park,5252
P7,Bronson Ave & University Dr,7241,7180,Brewer Park,7716
P5,Stadium Way,1885,1824,Brewer Park,1993
P4,Stadium Way,3327,3266,Brewer Park,3435
P5,Stadium Way,1797,1736,Brewer Park,1907
P1,Colonel By,391,330,Hogs Back Plaza (SW dest.),637
P7,Bronson Ave & University Dr,7298,7237,Brewer Park,7769
P7,Bronson Ave & University Dr,3575,3514,Brewer Park,4023
P4,Stadium Way,3216,3155,Brewer Park,3330
P1,Colonel By,147,86,Hogs Back Plaza (SW dest.),330
P7,Bronson Ave & University Dr,3761,3700,Brewer Park,5080
P7,Bronson Ave & University Dr,3508,3447,Brewer Park,3973
P2,Colonel By,565,504,Hogs Back Plaza (SW dest.),978
P4,Stadium Way,2805,2744,Brewer Park,2920
P7,Bronson Ave & University Dr,5776,5715,Brewer Park,6244
P5,Stadium Way,2967,2906,Brewer Park,3077
P5,Stadium Way,986,925,Brewer Park,1101
P5,Stadium Way,2202,2141,Brewer Park,2315
P7,Bronson Ave & University Dr,6244,6183,Brewer Park,7016
P5,Stadium Way,1038,977,Brewer Park,1147
P7,Bronson Ave & University Dr,7137,7076,Brewer Park,7612
P5,Stadium Way,2050,1989,Brewer Park,2159
P7,Bronson Ave & University Dr,4979,4918,Brewer Park,5447
P2,Colonel By,509,448,Hogs Back Plaza (SW dest.),879
P5,Stadium Way,829,768,Brewer Park,948
