id,lat,lon
1,50.7813139,6.0800578
2,50.4265874,6.3727778
3,49.5979766,6.3881821
4,49.9658862,6.3988232
5,49.6178665,6.4213948
6,50.1244251,6.4288603
7,50.1253233,6.4298778
8,51.8195769,6.4454871
9,50.2246224,6.4482143
10,49.8618103,6.4620247
11,49.9183317,6.4759383
12,50.3080355,6.4897596
13,49.7300856,6.5066971
14,50.2197411,6.5167403
15,49.9855842,6.5638441
16,49.6199702,6.5695347
17,49.8181915,6.572151
18,49.9705532,6.5874017
19,49.6010482,6.5926576
20,49.7716817,6.6042739
21,49.7705739,6.6151831
22,49.5959177,6.6792329
23,50.2770988,6.7641985
24,50.3827507,6.7682811
25,49.7429935,6.7864133
26,51.1236853,6.7975561
27,51.8829247,6.8580124
28,49.6770491,6.8978659
29,49.8774637,6.9032446
30,50.2786618,6.9052076
31,50.0314861,6.9154724
32,49.8655797,6.9462809
33,50.9398602,6.9629253
34,49.7636502,7.0117797
35,52.0025276,7.0513214
36,49.9858168,7.1208606
37,49.8228738,7.1352191
38,49.8599523,7.1444017
39,50.3352299,7.1484372
40,49.8567387,7.169869
41,50.7827935,7.2263038
42,50.5641554,7.2447981
43,49.703895,7.2611298
44,52.5830259,7.3869055
45,50.3015255,7.4670551
46,49.9711707,7.5774159
47,49.7912374,7.6030391
48,50.6820054,7.6198115
49,53.1107681,7.6653245
50,47.9532713,7.6699524
51,51.6991292,7.6732858
52,47.9706416,7.7212403
53,50.0230949,7.8320543
54,48.4243916,7.8846259
55,49.0554571,7.9537954
56,49.1630329,8.0036789
57,51.547397,8.133195
58,47.7823451,8.1824099
59,47.622946,8.1930985
60,48.6232191,8.2009047
61,48.0815242,8.2064414
62,48.5375778,8.2223565
63,49.9549771,8.2277304
64,50.9896682,8.2560153
65,48.4946164,8.2586785
66,51.3489243,8.2832827
67,52.6907726,8.3100634
68,48.2921852,8.3123414
69,49.8862854,8.3385489
70,52.6369774,8.4111006
71,50.6111249,8.4221235
72,48.4174441,8.4417173
73,47.7703984,8.4788745
74,52.6113466,8.5308006
75,49.3166969,8.5766891
76,47.8156005,8.5801747
77,49.7461123,8.590774
78,49.6729334,8.596681
79,53.4689016,8.5976291
80,49.6903495,8.6042212
81,49.9470742,8.6092534
82,48.9125666,8.6194713
83,48.9097874,8.6897601
84,48.9084946,8.6899206
85,47.9358169,8.7663388
86,50.8174633,8.7739597
87,53.0283135,8.8090322
88,48.9658183,8.8833746
89,50.0556637,8.90987
90,48.2139384,8.945839
91,54.3198577,8.9552229
92,54.158527,8.9564
93,47.8325992,8.9638617
94,49.9946483,9.0652921
95,53.9069586,9.0763417
96,54.4910178,9.1278183
97,47.7777762,9.1315368
98,48.298155,9.2404957
99,48.0229198,9.2649015
100,48.8173467,9.2911685
101,52.055433,9.367425
102,53.2931956,9.5051967
103,54.3495162,9.5749657
104,49.8400998,9.5818886
105,48.3341602,9.5874524
106,48.553019,9.6323325
107,48.254288,9.6376092
108,48.5465794,9.6425275
109,48.533487,9.6647242
110,52.6736103,9.6895434
111,50.4802407,9.6906109
112,50.7881839,9.7155932
113,50.8619645,9.7213442
114,50.7091957,9.7214868
115,48.1125123,9.7515933
116,49.7660885,9.7585058
117,49.7665094,9.7614694
118,49.766521,9.7665064
119,50.7019507,9.7844672
120,53.3703299,9.8018668
121,48.3874323,9.9393383
122,47.8417674,9.9493231
123,48.3501378,10.0164377
124,48.4535091,10.0548462
125,48.4529221,10.055319
126,49.1816991,10.0699415
127,52.0135282,10.1088493
