lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,3106,3045,Brewer Park,3212
P7,Bronson Ave & University Dr,6195,6134,Brewer Park,6661
P5,Stadium Way,2738,2677,Brewer Park,2848
P1,Colonel By,345,284,Hogs Back Plaza (SW dest.),583
P7,Bronson Ave & University Dr,11298,11237,Brewer Park,11768
P7,Bronson Ave & University Dr,151,90,Brewer Park,4500
P3,Stadium Way,3627,3566,Brewer Park,3736
P1,Colonel By,158,97,Hogs Back Plaza (SW dest.),348
P5,Stadium Way,983,922,Brewer Park,1101
P4,Stadium Way,4289,4228,Brewer Park,4399
P5,Stadium Way,388,327,Brewer Park,495
P7,Bronson Ave & University Dr,4391,4330,Brewer Park,4856
P7,Bronson Ave & University Dr,5892,5831,Brewer Park,6370
P5,Stadium Way,1592,1531,Brewer Park,1694
P5,Stadium Way,3085,3024,Brewer Park,3200
P7,Bronson Ave & University Dr,369,308,Brewer Park,4705
P7,Bronson Ave & University Dr,6324,6263,Brewer Park,7102
P7,Bronson Ave & University Dr,5102,5041,Brewer Park,5571
P3,Stadium Way,3887,3826,Brewer Park,4000
P7,Bronson Ave & University Dr,143,82,Brewer Park,4489
P3,Stadium Way,3302,3241,Brewer Park,3413
P7,Bronson Ave & University Dr,6219,6158,Brewer Park,7003
P5,Stadium Way,1725,1664,Brewer Park,1840
P1,Colonel By,435,374,Hogs Back Plaza (SW dest.),696
P5,Stadium Way,763,702,Brewer Park,868
P7,Bronson Ave & University Dr,11977,11916,Brewer Park,12767
P3,Stadium Way,3405,3344,Brewer Park,3516
P1,Colonel By,204,143,Hogs Back Plaza (SW dest.),412
P7,Bronson Ave & University Dr,7333,7272,Brewer Park,7808
P5,Stadium Way,2169,2108,Brewer Park,2271
P2,Colonel By,554,493,Hogs Back Plaza (SW dest.),942
P3,Stadium Way,3508,3447,Brewer Park,3620
P7,Bronson Ave & University Dr,5049,4988,Brewer Park,5521
P3,Stadium Way,3831,3770,Brewer Park,3941
P5,Stadium Way,2637,2576,Brewer Park,2745
P5,Stadium Way,1627,1566,Brewer Park,1737
P5,Stadium Way,718,657,Brewer Park,831
