lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Colonel By,3603,3542,Hogs Back Plaza (SW dest.),4676
P7,Bronson Ave & University Dr,5656,5595,Hogs Back Plaza (SW dest.),6387
P5,Stadium Way,2421,2360,Brewer Park,2522
P7,Colonel By,4702,4641,Hogs Back Plaza (SW dest.),5505
P1,Colonel By,351,290,Hogs Back Plaza (SW dest.),568
P7,Colonel By,4946,4885,Hogs Back Plaza (SW dest.),5672
P3,Stadium Way,3471,3410,Brewer Park,3579
P7,Bronson Ave & University Dr,4933,4872,Brewer Park,5157
P5,Stadium Way,1807,1746,Brewer Park,1910
P7,Colonel By,1106,1045,Hogs Back Plaza (SW dest.),1797
P7,Colonel By,5397,5336,Hogs Back Plaza (SW dest.),6021
P5,Stadium Way,2680,2619,Brewer Park,2792
P5,Stadium Way,3106,3045,Brewer Park,3217
P7,Bronson Ave & University Dr,5346,5285,Brewer Park,5433
P3,Stadium Way,3787,3726,Brewer Park,3891
P7,Bronson Ave & University Dr,4744,4683,Brewer Park,5009
P5,Stadium Way,1602,1541,Brewer Park,1710
P7,Colonel By,6081,6020,Hogs Back Plaza (SW dest.),6448
P5,Stadium Way,2662,2601,Brewer Park,2767
P6,Colonel By,3685,3624,Hogs Back Plaza (SW dest.),4750
P3,Stadium Way,3396,3335,Brewer Park,3505
P6,Colonel By,3786,3725,Hogs Back Plaza (SW dest.),4856
P7,Bronson Ave & University Dr,4867,4806,Brewer Park,5108
P5,Stadium Way,2588,2527,Brewer Park,2700
P2,Colonel By,664,603,Hogs Back Plaza (SW dest.),1088
P3,Stadium Way,3981,3920,Brewer Park,4093
P5,Stadium Way,883,822,Brewer Park,982
P5,Stadium Way,2706,2645,Brewer Park,2809
P7,Bronson Ave & University Dr,5634,5573,Brewer Park,5897
P3,Stadium Way,3978,3917,Brewer Park,4089
P7,Colonel By,6223,6162,Hogs Back Plaza (SW dest.),6567
P5,Stadium Way,2607,2546,Brewer Park,2716
P2,Colonel By,174,113,Hogs Back Plaza (SW dest.),725
P5,Stadium Way,1726,1665,Brewer Park,1832
P7,Bronson Ave & University Dr,4599,4538,Brewer Park,4905
P6,Colonel By,1345,1284,Hogs Back Plaza (SW dest.),2187
P7,Bronson Ave & University Dr,6408,6347,Brewer Park,6489
P3,Stadium Way,3386,3325,Brewer Park,3496
P6,Colonel By,716,655,Hogs Back Plaza (SW dest.),1178
P7,Bronson Ave & University Dr,4434,4373,Brewer Park,4815
P5,Stadium Way,1068,1007,Brewer Park,1178
P7,Bronson Ave & University Dr,5189,5128,Brewer Park,5316
P7,Colonel By,6263,6202,Hogs Back Plaza (SW dest.),6596
P5,Stadium Way,1110,1049,Brewer Park,1216
P7,Bronson Ave & University Dr,5681,5620,Hogs Back Plaza (SW dest.),6403
P4,Stadium Way,4205,4144,Brewer Park,4318
P1,Colonel By,414,353,Hogs Back Plaza (SW dest.),639
P7,Colonel By,5782,5721,Hogs Back Plaza (SW dest.),6251
P5,Stadium Way,2257,2196,Brewer Park,2371
P5,Stadium Way,801,740,Brewer Park,912
P5,Stadium Way,2266,2205,Brewer Park,2376
P7,Bronson Ave & University Dr,5458,5397,Brewer Park,5543
P5,Stadium Way,352,291,Brewer Park,451
P1,Colonel By,455,394,Hogs Back Plaza (SW dest.),687
P3,Stadium Way,3229,3168,Brewer Park,3343
P5,Stadium Way,1703,1642,Brewer Park,1812
P5,Stadium Way,1456,1395,Brewer Park,1553
P6,Colonel By,829,768,Hogs Back Plaza (SW dest.),1352
P6,Colonel By,1297,1236,Hogs Back Plaza (SW dest.),2122
P6,Colonel By,1483,1422,Hogs Back Plaza (SW dest.),2419
P5,Stadium Way,2978,2917,Brewer Park,3090
P7,Bronson Ave & University Dr,3334,3273,Brewer Park,4622
P5,Stadium Way,176,115,Brewer Park,212
P5,Stadium Way,1335,1274,Brewer Park,1444
P5,Stadium Way,2672,2611,Brewer Park,2778
P7,Colonel By,5823,5762,Hogs Back Plaza (SW dest.),6278
P4,Stadium Way,4150,4089,Brewer Park,4253
P7,Colonel By,6734,6673,Hogs Back Plaza (SW dest.),6906
P5,Stadium Way,1859,1798,Brewer Park,1967
P7,Bronson Ave & University Dr,5293,5232,Brewer Park,5376
P7,Colonel By,4763,4702,Hogs Back Plaza (SW dest.),5552
P3,Stadium Way,3254,3193,Brewer Park,3370
P4,Stadium Way,3239,3178,Brewer Park,3352
P3,Stadium Way,3752,3691,Brewer Park,3858
P6,Colonel By,1697,1636,Hogs Back Plaza (SW dest.),2757
P5,Stadium Way,1747,1686,Brewer Park,1853
P6,Colonel By,3793,3732,Hogs Back Plaza (SW dest.),4873
P6,Colonel By,1442,1381,Hogs Back Plaza (SW dest.),2342
P7,Colonel By,7414,7353,Hogs Back Plaza (SW dest.),7590
P7,Bronson Ave & University Dr,5688,5627,Brewer Park,5959
P7,Bronson Ave & University Dr,4264,4203,Brewer Park,4716
P4,Stadium Way,4077,4016,Brewer Park,4185
P1,Colonel By,226,165,Hogs Back Plaza (SW dest.),423
P2,Colonel By,583,522,Hogs Back Plaza (SW dest.),974
P1,Colonel By,387,326,Hogs Back Plaza (SW dest.),609
P6,Colonel By,1358,1297,Hogs Back Plaza (SW dest.),2209
P1,Colonel By,410,349,Hogs Back Plaza (SW dest.),635
P7,Colonel By,6691,6630,Hogs Back Plaza (SW dest.),6885
P5,Stadium Way,1449,1388,Brewer Park,1549
P5,Stadium Way,3081,3020,Brewer Park,3193
P7,Colonel By,6509,6448,Hogs Back Plaza (SW dest.),6755
P5,Stadium Way,840,779,Brewer Park,952
P5,Stadium Way,830,769,Brewer Park,942
P5,Stadium Way,1398,1337,Brewer Park,1507
P5,Stadium Way,2245,2184,Brewer Park,2353
P7,Bronson Ave & University Dr,5272,5211,Brewer Park,5356
P7,Bronson Ave & University Dr,6656,6595,Hogs Back Plaza (SW dest.),7123
P7,Bronson Ave & University Dr,5593,5532,Hogs Back Plaza (SW dest.),6336
P7,Bronson Ave & University Dr,5595,5534,Hogs Back Plaza (SW dest.),6340
P7,Colonel By,6834,6773,Hogs Back Plaza (SW dest.),7002
P7,Bronson Ave & University Dr,3355,3294,Brewer Park,4647
P7,Colonel By,5731,5670,Hogs Back Plaza (SW dest.),6217
