JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;2;DE24B;94860,2;;8993177,0;;1471630,5;();146248680,0;();94860,2;;9060235,4;();1471630,5;();148059256,8;()
2023;3;1;2;DE24C;50525,8;();4697695,9;();;/;;/;50525,8;();4697695,9;();;/;;/
2023;3;1;2;DE24D;55226,5;();4947040,2;();710275,5;();66597740,1;();55226,5;();4947040,2;();710275,5;();66597740,1;()
2023;3;1;2;DE251;31720,8;();2714047,7;();;/;;/;31720,8;();2714047,7;();;/;;/
2023;3;1;2;DE252;29288,6;();2802822,4;();;/;;/;29288,6;();2802822,4;();;/;;/
2023;3;1;2;DE253;55581,5;();5096088,5;();641140,3;();57755900,2;();55581,5;();5096088,5;();641140,3;();57755900,2;()
2023;3;1;2;DE254;458450,5;;45432949,2;;4605735,4;;450466021,8;;458450,5;;45554046,5;;4605735,4;;452944889,3;
2023;3;1;2;DE255;28705,7;();2773441,9;();;/;;/;28705,7;();2773441,9;();;/;;/
2023;3;1;2;DE256;187912,4;;17343058,2;;2286539,2;;206194101,1;;187912,4;;17343058,2;;2286539,2;;206194101,1;
2023;3;1;2;DE257;66644,5;();6014206,8;();921613,2;();80747409,2;();66644,5;();6014206,8;();921613,2;();80747409,2;()
2023;3;1;2;DE258;27503,3;();2365848,5;();;/;;/;27503,3;();2365848,5;();;/;;/
2023;3;1;2;DE259;119459,6;;10103766,9;;1643355,5;();134230267,1;();119459,6;;10211618,6;;1643355,5;();136020759,8;()
2023;3;1;2;DE25A;92649,5;;8434949,2;;1125266,3;();107317856,6;();92649,5;;8434949,2;;1125266,3;();107317856,6;()
2023;3;1;2;DE25B;81899,3;;7531296,0;();1080988,9;();99312027,3;();81899,3;;7531296,0;();1080988,9;();99312027,3;()
2023;3;1;2;DE25C;107482,2;();9095316,5;();1838802,0;();149585105,6;();107482,2;();9095316,5;();1838802,0;();149585105,6;()
2023;3;1;2;DE261;78510,8;();7265599,3;();736969,4;();74549759,5;();78510,8;();7265599,3;();736969,4;();74549759,5;()
2023;3;1;2;DE262;54651,2;();5436091,5;();580672,5;();59468281,8;();54651,2;();5436091,5;();580672,5;();59468281,8;()
2023;3;1;2;DE263;90810,2;();8826868,8;;1017704,6;();94269126,7;();90810,2;();8826868,8;;1017704,6;();94269126,7;()
2023;3;1;2;DE264;126021,4;;11335295,4;;1409997,8;();127406325,1;();126021,4;;11335295,4;;1409997,8;();127406325,1;()
2023;3;1;2;DE265;61932,8;();5798401,7;();734342,5;();69921516,8;();61932,8;();5798401,7;();734342,5;();69921516,8;()
