lon,lat
9.9915617,53.5610901
9.991562,53.5610904
9.9906732,53.560327
9.9906734,53.5603273
9.990837,53.560639
9.9908373,53.5606392
9.9903319,53.5608037
9.9903322,53.560804
9.9902993,53.5607885
9.9902996,53.5607888
9.9910363,53.5607929
9.9910366,53.5607932
9.9902612,53.560746
9.9902614,53.5607463
9.9905197,53.5608504
9.99052,53.5608506
9.9910245,53.5608259
9.9910248,53.5608261
9.9903737,53.56082
9.990374,53.5608203
9.9907982,53.5605835
9.9907985,53.5605839
9.9904888,53.5603371
9.9904891,53.5603374
9.9910492,53.5607656
9.9910495,53.5607659
9.99054,53.560298
9.9905401,53.5602983
9.9909907,53.5604122
9.990991,53.5604125
9.99054,53.560298
9.9905401,53.5602983
9.99054,53.560298
9.9905401,53.5602983
9.9900625,53.5611168
9.9900628,53.5611171
9.9902025,53.5598297
9.9902028,53.55983
9.9901581,53.5598402
9.9901584,53.5598404
9.9900286,53.5611001
9.9900289,53.5611004
9.9899199,53.5610498
9.9899202,53.5610501
9.9910245,53.5608259
9.9910248,53.5608261
9.9899525,53.561065
9.9899528,53.5610653
9.989991,53.561085
9.9899913,53.5610852
9.9910206,53.5605868
9.9910209,53.5605871
9.9908433,53.5603707
9.9908434,53.560371
9.9902321,53.5607345
9.9902324,53.5607348
9.9902321,53.5607345
9.9902324,53.5607348
9.9910262,53.5604901
9.9910265,53.5604903
9.9910752,53.5606272
9.9910755,53.5606275
9.9905703,53.5603478
9.9905706,53.5603481
9.9909704,53.56082
9.9909707,53.5608203
9.9915241,53.5611084
9.9915244,53.5611086
9.9906746,53.560845
9.9906749,53.5608452
9.9908555,53.5608305
9.9908558,53.5608307
9.9907296,53.5602856
9.9907299,53.5602859
9.9908683,53.5603855
9.9908686,53.5603857
9.9906605,53.5602793
9.9906608,53.5602796
9.9906077,53.5602564
9.990608,53.5602567
9.9904116,53.5605688
9.9904119,53.5605691
9.9905447,53.5602476
9.9905448,53.5602479
9.9910332,53.5604361
9.9910335,53.5604363
9.9903984,53.5605005
9.9903987,53.5605008
9.9908119,53.5608796
9.9908122,53.5608799
9.9902602,53.560694
9.9902605,53.5606942
9.9910145,53.5607273
9.9910147,53.5607276
9.9910194,53.5606994
9.9910197,53.5606997
9.9835202,53.5575222
9.9835203,53.5575223
9.9838932,53.5574637
9.9838933,53.5574639
9.9769713,53.5561566
9.9769521,53.556139
9.9769966,53.5561812
9.9770057,53.5561876
9.9769859,53.5561046
9.9769953,53.5561095
9.9755884,53.5564946
9.9755516,53.5564836
9.9749146,53.5563924
9.9751027,53.5562657
9.9750454,53.5562698
9.9753987,53.5565835
9.9937858,53.5586956
9.9937883,53.5586962
9.9938347,53.5586842
9.9938372,53.5586847
9.9754972,53.5603092
9.9755991,53.5602982
9.9779195,53.5567713
9.9779206,53.5567711
9.9934294,53.558603
9.9934315,53.5586034
9.9947136,53.5485753
9.9947145,53.5485756
9.994566,53.5484448
9.9945668,53.5484449
9.9948233,53.5483236
9.9948244,53.5483236
9.9894293,53.5615467
9.9894271,53.5615455
9.9751131,53.5516536
9.9751144,53.5516542
9.9902574,53.5613432
9.9896964,53.5616333
9.9936214,53.5586991
9.9936237,53.5586997
9.9699102,53.5461343
9.9691805,53.5459264
9.9752996,53.561054
9.9756597,53.5608788
9.989463,53.5615665
9.9894585,53.5615659
9.9940317,53.5577567
9.9940339,53.5577572
9.9754666,53.5605146
9.9753724,53.5605191
9.9690259,53.5460631
9.9690149,53.5460047
9.9938359,53.5574542
9.9938378,53.5574544
9.9894937,53.5615866
9.9902559,53.56134
9.9758998,53.5584248
9.9759006,53.5584248
9.9758035,53.5524401
9.9757643,53.5524494
9.9758361,53.5526148
9.9757948,53.5524052
9.9944309,53.5588185
9.9944341,53.5588191
9.9770346,53.5641769
9.9770339,53.5641766
9.9943164,53.5588612
9.9943193,53.558862
9.9770208,53.5576209
9.9767829,53.5574336
9.9697021,53.5459649
9.9695584,53.5461423
9.9928602,53.557633
9.9928611,53.5576333
9.9819848,53.5643448
9.9819859,53.5643454
9.969016,53.5460046
9.9695287,53.5458858
9.993568,53.5585918
9.9935703,53.5585923
9.9761322,53.55286
9.9761321,53.5528609
9.9756106,53.5604759
9.9752369,53.5604675
9.969813,53.5460984
9.969347,53.5458965
9.9945211,53.5485227
9.9945218,53.5485229
9.9928602,53.557633
9.9928611,53.5576333
9.9928492,53.5576075
9.9928501,53.5576078
9.993589,53.5586183
9.9935912,53.5586188
9.9693967,53.5458877
9.9697015,53.5459648
9.9774079,53.5644937
9.9774077,53.5644938
9.9761502,53.5524958
9.9761501,53.5524963
9.993725,53.5574994
9.9937268,53.5574996
9.9940332,53.5577294
9.9940354,53.5577298
9.9931037,53.557853
9.9931049,53.5578537
9.9930413,53.5577388
9.9930423,53.5577392
9.9933153,53.5578874
9.9933167,53.5578881
9.9933024,53.5578601
9.9933037,53.5578607
9.9938335,53.5577766
9.9938355,53.5577771
9.9775078,53.5641814
9.9775077,53.5641812
9.9755731,53.5612271
9.9752971,53.5610537
9.993996,53.5577898
9.993998,53.5577903
9.9937159,53.557802
9.9937177,53.5578024
9.9937997,53.5577556
9.9938016,53.557756
9.9932064,53.5573329
9.9932077,53.557333
9.9931627,53.5573106
9.9931639,53.5573106
9.9931456,53.5573654
9.9931468,53.5573655
9.9761502,53.5524958
9.9758368,53.5523902
9.9929399,53.5574408
9.9929409,53.5574409
9.9929324,53.5574046
9.9929334,53.5574048
9.9757529,53.5611355
9.9756942,53.5609124
9.9761502,53.5524958
9.9761965,53.5527489
9.9756683,53.5611792
9.975446,53.5611696
9.9761966,53.5527481
9.9760375,53.5528607
9.9770135,53.5575085
9.9768862,53.557747
9.9772147,53.5644281
9.9772142,53.5644281
9.9693478,53.5458966
9.9696828,53.5459444
9.994169,53.5584226
