startTime,endTime,spawningIntervalInMinutes,spawningAmount,hasBike,hasCar,prefersBike,prefersCar,usesBikeAndsdRide,usesOwnBikeOutside,usesOwnCar,source,destination,discriminator
15:00,20:30,3,14,0,0,0,0,0,0,0,"POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))","POLYGON((9.9908 53.5525,9.9940 53.5525,9.9940 53.5515,9.9908 53.5515,9.9908 53.5525))",2
15:00,20:30,3,18,0,0,0,0,0,0,0,"POLYGON((9.9908 53.5525,9.9940 53.5525,9.9940 53.5515,9.9908 53.5515,9.9908 53.5525))","POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))",2
15:00,20:30,4,8,0,0,0,0,0,0,0,"POLYGON((9.9935 53.5495,9.9955 53.5495,9.9955 53.5485,9.9935 53.5485,9.9935 53.5495))","POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))",3
15:00,20:30,3,10,0,0,0,0,0,0,0,"POLYGON((9.9908 53.5505,9.9920 53.5505,9.9920 53.5500,9.9908 53.5500,9.9908 53.5505))","POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))",3
15:00,20:30,3,10,0,0,0,0,0,0,0,"POLYGON((9.9915 53.5510,9.9935 53.5510,9.9935 53.5505,9.9915 53.5505,9.9915 53.5510))","POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))",3
15:00,20:30,3,10,0,0,0,0,0,0,0,"POLYGON((9.9915 53.5505,9.9930 53.5505,9.9930 53.5498,9.9915 53.5498,9.9915 53.5505))","POLYGON((9.9915 53.5510,9.9935 53.5510,9.9935 53.5505,9.9915 53.5505,9.9915 53.5510))",3
