time,Library Rd & P1 to Library Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & University Dr to Library Rd & P1,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & University Dr to Library Rd & University Dr,Library Rd & University Dr to Campus Ave & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P3 & Raven Rd,P3 & Raven Rd to Raven Rd & University Dr,P3 & Raven Rd to Bronson Ave & Raven Rd,Library Rd & University Dr to Colonel By Dr & University Dr,Raven Rd & University Dr to P4 & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,Stadium Way & University Dr to P4 & University Dr,Stadium Way & University Dr to P5 & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,Stadium Way & University Dr to Roundabout,Roundabout to Stadium Way & University Dr,Roundabout to Bronson Ave & University Dr,Roundabout to Campus Ave & P6,Campus Ave & P6 to Roundabout,Campus Ave & P6 to Campus Ave & Library Rd,Raven Rd & University Dr to Bronson Ave & Raven Rd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,20.07022118321556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.14274579204152,0.0,0.0,10.616366094736422,21.686459294888568,0.0,0.0,0.0
80.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.52545542615093,0.0,0.0,15.570670272280086,32.529688942332854,0.0,0.0,0.0
90.0,27.412985030733445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.32615585295116,0.0,0.0,17.69394349122737,43.372918589777136,0.0,0.0,0.0
100.0,28.392020210402496,0.0,0.0,0.0,0.0,0.0,0.38694871716389606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4355014626967,0.0,0.0,21.232732189472845,52.047502307732564,0.0,0.0,0.0
110.0,29.37105539007155,0.0,0.0,0.0,0.0,0.0,0.5804230757458441,0.0,0.0,0.0,0.0,0.0,0.0,2.9104777148277132,0.0,0.0,0.0,0.0,0.0,0.0,143.4355014626967,0.0,0.0,26.187036367016507,50.963179342988134,0.0,0.0,0.0
120.0,29.37105539007155,0.0,0.0,0.0,0.0,0.0,1.1608461514916881,0.0,0.0,0.0,0.0,0.0,0.0,8.73143314448314,0.0,0.0,0.0,0.0,0.0,0.0,145.01751067000586,0.0,0.0,26.894794106665604,50.963179342988134,0.0,0.0,0.0
130.0,29.860572979906074,0.0,0.0,0.0,0.0,0.0,1.7412692272375323,0.0,0.0,0.0,0.0,0.0,0.0,14.552388574138567,0.0,0.0,0.0,0.0,0.0,0.0,146.599519877315,0.0,0.0,27.602551846314697,50.963179342988134,0.0,0.0,0.0
140.0,30.3500905697406,0.0,0.0,0.0,0.0,0.0,2.3216923029833763,0.0,0.0,0.0,0.0,0.0,0.0,17.46286628896628,0.0,0.0,0.0,0.0,0.0,0.0,147.1268562797514,0.0,0.0,29.018067325612886,49.878856378243704,0.0,0.0,0.0
150.0,28.881537800237023,0.0,0.0,0.0,0.0,0.0,3.0955897373111685,0.0,0.0,0.0,0.0,0.0,0.0,20.373344003793992,0.0,0.0,0.0,0.0,0.0,0.0,148.18152908462415,0.0,0.0,27.602551846314697,49.878856378243704,0.0,0.0,0.0
160.0,27.902502620567972,0.0,0.0,0.0,0.0,0.0,3.676012813057013,0.0,0.0,0.0,0.0,0.0,0.0,20.373344003793992,0.0,0.0,0.0,0.0,0.0,0.0,148.70886548706054,0.0,0.0,26.187036367016507,50.963179342988134,0.0,0.0,0.0
170.0,26.433949851064394,0.0,0.0,0.0,0.0,0.0,4.062961530220909,0.0,0.0,0.0,0.0,0.0,0.0,23.283821718621706,0.0,0.0,0.0,0.0,0.0,0.0,152.40022030411524,0.0,0.0,26.894794106665604,50.963179342988134,0.0,0.0,0.0
180.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,4.836858964548701,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,152.40022030411524,0.0,0.0,26.894794106665604,49.878856378243704,0.0,0.0,0.0
190.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,5.223807681712597,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,152.40022030411524,0.0,0.0,29.018067325612886,49.878856378243704,0.0,0.0,0.0
200.0,23.496844312057238,0.0,0.0,0.0,0.0,0.0,5.417282040294545,0.0,0.0,0.0,0.0,0.0,0.0,32.01525486310485,0.0,0.0,0.0,0.0,0.0,0.0,154.50956591386077,0.0,0.0,27.602551846314697,49.878856378243704,0.0,0.0,0.0
210.0,22.028291542553664,0.0,0.0,0.0,0.0,0.0,5.99770511604039,0.0,0.0,0.0,0.0,0.0,0.0,34.92573257793256,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,28.310309585963793,47.71021044875485,0.0,0.0,0.0
220.0,20.559738773050086,0.0,0.0,0.0,0.0,0.0,6.771602550368182,0.0,0.0,0.0,0.0,0.0,0.0,34.92573257793256,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,29.018067325612886,46.62588748401042,0.0,0.0,0.0
230.0,20.07022118321556,0.0,0.0,0.0,0.0,0.0,7.1585512675320775,0.0,0.0,0.0,0.0,0.0,0.0,34.92573257793256,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,28.310309585963793,47.71021044875485,0.0,0.0,0.0
240.0,19.58070359338103,0.0,0.0,0.0,0.0,0.0,7.738974343277921,0.0,0.0,0.0,0.0,0.0,0.0,32.01525486310485,0.0,0.0,0.0,0.0,0.0,0.0,153.9822295114244,0.0,0.0,29.725825065261983,47.71021044875485,0.0,0.0,0.0
250.0,19.58070359338103,0.0,0.0,0.0,0.0,0.0,8.512871777605714,0.0,0.0,0.0,0.0,0.0,0.0,32.01525486310485,0.0,0.0,0.0,0.0,0.0,0.0,154.50956591386077,0.0,0.0,31.849098284209266,46.62588748401042,0.0,0.0,0.0
260.0,19.091186003546508,0.0,0.0,0.0,0.0,0.0,9.093294853351559,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,153.9822295114244,0.0,0.0,33.97237150315655,46.62588748401042,0.0,0.0,0.0
270.0,19.091186003546508,0.0,0.0,0.0,0.0,0.0,9.86719228767935,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,34.68012924280565,46.62588748401042,0.0,0.0,0.0
280.0,19.58070359338103,0.0,0.0,0.0,0.0,0.0,10.447615363425195,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,156.09157512116994,0.0,0.0,36.095644722103835,47.71021044875485,0.0,0.0,0.0
290.0,20.559738773050086,0.0,0.0,0.0,0.0,0.0,10.83456408058909,0.0,0.0,0.0,0.0,0.0,0.0,23.283821718621706,0.0,0.0,0.0,0.0,0.0,0.0,157.1462479260427,0.0,0.0,36.80340246175293,47.71021044875485,0.0,0.0,0.0
300.0,19.58070359338103,0.0,0.0,0.0,0.0,0.0,11.221512797752986,0.0,0.0,0.0,0.0,0.0,0.0,26.19429943344942,0.0,0.0,0.0,0.0,0.0,0.0,156.09157512116994,0.0,0.0,39.63443342034931,46.62588748401042,0.0,0.0,0.0
310.0,19.091186003546508,0.0,0.0,0.0,0.0,0.0,11.80193587349883,0.0,0.0,0.0,0.0,0.0,0.0,29.104777148277133,0.0,0.0,0.0,0.0,0.0,0.0,155.56423871873355,0.0,0.0,41.75770663929659,46.62588748401042,0.0,0.0,0.0
320.0,17.62263323404293,0.0,0.0,0.0,0.0,0.0,12.382358949244674,0.0,0.0,0.0,0.0,0.0,0.0,29.104777148277133,0.0,0.0,0.0,0.0,0.0,0.0,154.50956591386077,0.0,0.0,43.173222118594786,47.71021044875485,0.0,0.0,0.0
330.0,16.64359805437388,0.0,0.0,0.0,0.0,0.0,12.76930766640857,0.0,0.0,0.0,0.0,0.0,0.0,32.01525486310485,0.0,0.0,0.0,0.0,0.0,0.0,154.50956591386077,0.0,0.0,42.46546437894569,50.963179342988134,0.0,0.0,0.0
340.0,16.64359805437388,0.0,0.0,0.0,0.0,0.0,13.349730742154415,0.0,0.0,0.0,0.0,0.0,0.0,29.104777148277133,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,41.0499488996475,55.30047120196585,0.0,0.0,0.0
350.0,16.15408046453935,0.0,0.0,0.0,0.0,0.0,13.73667945931831,0.0,0.0,0.0,0.0,0.0,0.0,29.104777148277133,0.0,0.0,0.0,0.0,0.0,0.0,155.03690231629716,0.0,0.0,42.46546437894569,55.30047120196585,0.0,0.0,0.0
