lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P5,Stadium Way,1452,1391,Brewer Park,1559
P7,Bronson Ave & University Dr,3744,3683,Brewer Park,5506
P7,Bronson Ave & University Dr,11568,11507,Brewer Park,12031
P1,Colonel By,233,172,Hogs Back Plaza (SW dest.),445
P7,Bronson Ave & University Dr,6584,6523,Brewer Park,7367
P7,Bronson Ave & University Dr,11920,11859,Brewer Park,12720
P5,Stadium Way,1719,1658,Brewer Park,1830
P1,Colonel By,268,207,Hogs Back Plaza (SW dest.),490
P7,Bronson Ave & University Dr,11864,11803,Brewer Park,12658
P5,Stadium Way,731,670,Brewer Park,840
P5,Stadium Way,1735,1674,Brewer Park,1848
P7,Bronson Ave & University Dr,3209,3148,Brewer Park,3671
P5,Stadium Way,594,533,Brewer Park,703
P5,Stadium Way,1331,1270,Brewer Park,1439
P7,Bronson Ave & University Dr,3252,3191,Brewer Park,3710
P7,Bronson Ave & University Dr,6430,6369,Brewer Park,6893
P5,Stadium Way,2888,2827,Brewer Park,3003
P5,Stadium Way,2953,2892,Brewer Park,3070
P5,Stadium Way,2285,2224,Brewer Park,2391
P1,Colonel By,148,87,Hogs Back Plaza (SW dest.),332
P7,Bronson Ave & University Dr,6400,6339,Brewer Park,7179
P7,Bronson Ave & University Dr,6272,6211,Brewer Park,6747
P5,Stadium Way,2449,2388,Brewer Park,2560
P1,Colonel By,430,369,Hogs Back Plaza (SW dest.),691
P7,Bronson Ave & University Dr,11552,11491,Brewer Park,12306
P7,Bronson Ave & University Dr,3374,3313,Brewer Park,3854
P2,Colonel By,492,431,Hogs Back Plaza (SW dest.),835
P5,Stadium Way,1093,1032,Brewer Park,1201
P7,Bronson Ave & University Dr,5601,5540,Brewer Park,6063
P5,Stadium Way,2098,2037,Brewer Park,2214
P5,Stadium Way,2504,2443,Brewer Park,2607
P5,Stadium Way,1659,1598,Brewer Park,1766
P7,Bronson Ave & University Dr,5104,5043,Brewer Park,5565
P5,Stadium Way,2017,1956,Brewer Park,2131
P7,Bronson Ave & University Dr,5639,5578,Brewer Park,6123
P5,Stadium Way,881,820,Brewer Park,991
P7,Bronson Ave & University Dr,11529,11468,Brewer Park,11978
P2,Colonel By,206,145,Hogs Back Plaza (SW dest.),766
P5,Stadium Way,543,482,Brewer Park,654
P5,Stadium Way,1504,1443,Brewer Park,1613
P7,Bronson Ave & University Dr,7093,7032,Brewer Park,7572
P5,Stadium Way,1738,1677,Brewer Park,1853
P7,Bronson Ave & University Dr,11806,11745,Brewer Park,12592
P5,Stadium Way,2291,2230,Brewer Park,2402
P7,Bronson Ave & University Dr,5624,5563,Brewer Park,6102
P7,Bronson Ave & University Dr,5192,5131,Brewer Park,5683
P7,Bronson Ave & University Dr,12435,12374,Brewer Park,12894
P7,Bronson Ave & University Dr,3764,3703,Brewer Park,5529
P7,Bronson Ave & University Dr,6980,6919,Brewer Park,7453
P7,Bronson Ave & University Dr,5155,5094,Brewer Park,5624
P5,Stadium Way,350,289,Brewer Park,451
P7,Bronson Ave & University Dr,6470,6409,Brewer Park,7261
P5,Stadium Way,1882,1821,Brewer Park,1987
P1,Colonel By,252,191,Hogs Back Plaza (SW dest.),465
P7,Bronson Ave & University Dr,6266,6205,Brewer Park,6735
P5,Stadium Way,1437,1376,Brewer Park,1547
P5,Stadium Way,170,109,Brewer Park,197
P7,Bronson Ave & University Dr,11551,11490,Brewer Park,12302
P5,Stadium Way,2792,2731,Brewer Park,2914
P1,Colonel By,237,176,Hogs Back Plaza (SW dest.),449
P5,Stadium Way,2585,2524,Brewer Park,2691
P5,Stadium Way,2393,2332,Brewer Park,2500
P7,Bronson Ave & University Dr,6550,6489,Brewer Park,7340
P7,Bronson Ave & University Dr,6347,6286,Brewer Park,7123
P7,Bronson Ave & University Dr,3147,3086,Brewer Park,3603
P7,Bronson Ave & University Dr,11298,11237,Brewer Park,11744
P5,Stadium Way,2725,2664,Brewer Park,2833
P5,Stadium Way,1700,1639,Brewer Park,1804
P5,Stadium Way,1489,1428,Brewer Park,1596
P5,Stadium Way,715,654,Brewer Park,822
P7,Bronson Ave & University Dr,11512,11451,Brewer Park,11956
P5,Stadium Way,2122,2061,Brewer Park,2231
P5,Stadium Way,3000,2939,Brewer Park,3103
P7,Bronson Ave & University Dr,3489,3428,Brewer Park,3955
P5,Stadium Way,670,609,Brewer Park,776
P7,Bronson Ave & University Dr,3682,3621,Brewer Park,5465
P5,Stadium Way,1526,1465,Brewer Park,1625
P7,Bronson Ave & University Dr,12300,12239,Brewer Park,12770
P5,Stadium Way,2489,2428,Brewer Park,2599
P5,Stadium Way,365,304,Brewer Park,468
P5,Stadium Way,2679,2618,Brewer Park,2786
P7,Bronson Ave & University Dr,5195,5134,Brewer Park,5687
P2,Colonel By,168,107,Hogs Back Plaza (SW dest.),626
P5,Stadium Way,2833,2772,Brewer Park,2944
P7,Bronson Ave & University Dr,11481,11420,Brewer Park,11934
P7,Bronson Ave & University Dr,3342,3281,Brewer Park,3807
P5,Stadium Way,752,691,Brewer Park,862
P7,Bronson Ave & University Dr,6909,6848,Brewer Park,7397
P1,Colonel By,329,268,Hogs Back Plaza (SW dest.),564
P2,Colonel By,595,534,Hogs Back Plaza (SW dest.),1019
P1,Colonel By,133,72,Hogs Back Plaza (SW dest.),312
P7,Bronson Ave & University Dr,178,117,Brewer Park,3254
P7,Bronson Ave & University Dr,7281,7220,Brewer Park,7762
P7,Bronson Ave & University Dr,5306,5245,Brewer Park,5783
P1,Colonel By,345,284,Hogs Back Plaza (SW dest.),582
P5,Stadium Way,176,115,Brewer Park,205
P5,Stadium Way,2110,2049,Brewer Park,2223
P5,Stadium Way,2197,2136,Brewer Park,2304
P7,Bronson Ave & University Dr,5730,5669,Brewer Park,6202
P5,Stadium Way,1430,1369,Brewer Park,1537
P5,Stadium Way,289,228,Brewer Park,351
P5,Stadium Way,1042,981,Brewer Park,1149
P7,Bronson Ave & University Dr,5281,5220,Brewer Park,5756
P7,Bronson Ave & University Dr,3072,3011,Brewer Park,3523
P2,Colonel By,654,593,Hogs Back Plaza (SW dest.),1121
P7,Bronson Ave & University Dr,5849,5788,Brewer Park,6329
P7,Bronson Ave & University Dr,7332,7271,Brewer Park,7810
P7,Bronson Ave & University Dr,6372,6311,Brewer Park,7153
P7,Bronson Ave & University Dr,6151,6090,Brewer Park,6612
P7,Bronson Ave & University Dr,5946,5885,Brewer Park,6424
P5,Stadium Way,1906,1845,Brewer Park,2015
P5,Stadium Way,991,930,Brewer Park,1101
P5,Stadium Way,429,368,Brewer Park,548
P5,Stadium Way,148,87,Brewer Park,177
P5,Stadium Way,423,362,Brewer Park,540
P7,Bronson Ave & University Dr,5423,5362,Brewer Park,5889
P5,Stadium Way,323,262,Brewer Park,409
P5,Stadium Way,2534,2473,Brewer Park,2646
P7,Bronson Ave & University Dr,6340,6279,Brewer Park,7108
P2,Colonel By,565,504,Hogs Back Plaza (SW dest.),966
P5,Stadium Way,2665,2604,Brewer Park,2773
P5,Stadium Way,1586,1525,Brewer Park,1688
P5,Stadium Way,375,314,Brewer Park,481
