lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Bronson Ave & University Dr,5546,5485,Brewer Park,6014
P7,Colonel By,8804,8743,Hogs Back Plaza (SW dest.),8977
P5,Stadium Way,1918,1857,Brewer Park,2029
P7,Colonel By,10479,10418,Hogs Back Plaza (SW dest.),10650
P1,Colonel By,449,388,Hogs Back Plaza (SW dest.),724
P7,Bronson Ave & University Dr,10871,10810,Hogs Back Plaza (SW dest.),11355
P3,Stadium Way,4041,3980,Brewer Park,4149
P7,Bronson Ave & University Dr,10481,10420,Brewer Park,10564
P5,Stadium Way,2570,2509,Brewer Park,2673
P7,Colonel By,9760,9699,Hogs Back Plaza (SW dest.),9928
P7,Colonel By,8622,8561,Hogs Back Plaza (SW dest.),8802
P5,Stadium Way,2777,2716,Brewer Park,2887
P5,Stadium Way,279,218,Brewer Park,345
P7,Bronson Ave & University Dr,9478,9417,Brewer Park,9555
P3,Stadium Way,3465,3404,Brewer Park,3573
P7,Bronson Ave & University Dr,8189,8128,Brewer Park,8556
P5,Stadium Way,2657,2596,Brewer Park,2777
P7,Bronson Ave & University Dr,10712,10651,Hogs Back Plaza (SW dest.),11188
P5,Stadium Way,924,863,Brewer Park,1033
P6,Bronson Ave & University Dr,6788,6727,Brewer Park,7254
P3,Stadium Way,3822,3761,Brewer Park,3938
P6,Bronson Ave & University Dr,7371,7310,Brewer Park,7835
P7,Bronson Ave & University Dr,8567,8506,Brewer Park,8855
P5,Stadium Way,2907,2846,Brewer Park,3017
P2,Colonel By,515,454,Hogs Back Plaza (SW dest.),891
P3,Stadium Way,4004,3943,Brewer Park,4109
P5,Stadium Way,2584,2523,Brewer Park,2690
P5,Stadium Way,1588,1527,Brewer Park,1698
P7,Bronson Ave & University Dr,10254,10193,Brewer Park,10339
P3,Stadium Way,3717,3656,Brewer Park,3837
P7,Colonel By,10747,10686,Hogs Back Plaza (SW dest.),10912
P5,Stadium Way,856,795,Brewer Park,970
P2,Colonel By,655,594,Hogs Back Plaza (SW dest.),1142
P5,Stadium Way,1133,1072,Brewer Park,1247
P7,Bronson Ave & University Dr,9537,9476,Brewer Park,9808
P6,Bronson Ave & University Dr,6836,6775,Brewer Park,7290
P7,Bronson Ave & University Dr,10705,10644,Brewer Park,10967
P3,Stadium Way,3363,3302,Brewer Park,3473
P6,Bronson Ave & University Dr,6106,6045,Brewer Park,6571
P7,Bronson Ave & University Dr,9048,8987,Brewer Park,9159
P5,Stadium Way,2723,2662,Brewer Park,2833
P7,Bronson Ave & University Dr,9945,9884,Brewer Park,10024
P7,Colonel By,10188,10127,Hogs Back Plaza (SW dest.),10367
P5,Stadium Way,1814,1753,Brewer Park,1920
P7,Colonel By,7939,7878,Hogs Back Plaza (SW dest.),8106
P4,Stadium Way,4284,4223,Brewer Park,4389
P1,Colonel By,223,162,Hogs Back Plaza (SW dest.),443
P7,Colonel By,11369,11308,Hogs Back Plaza (SW dest.),11544
P5,Stadium Way,1829,1768,Brewer Park,1941
P5,Stadium Way,1823,1762,Brewer Park,1932
P5,Stadium Way,384,323,Brewer Park,491
P7,Bronson Ave & University Dr,9163,9102,Brewer Park,9268
P5,Stadium Way,1031,970,Brewer Park,1144
P1,Colonel By,381,320,Hogs Back Plaza (SW dest.),626
P3,Stadium Way,3531,3470,Brewer Park,3643
P5,Stadium Way,2953,2892,Brewer Park,3066
P5,Stadium Way,1228,1167,Brewer Park,1339
P6,Bronson Ave & University Dr,6005,5944,Brewer Park,6478
P6,Bronson Ave & University Dr,5450,5389,Brewer Park,5922
P6,Bronson Ave & University Dr,7789,7728,Brewer Park,8253
P5,Stadium Way,2725,2664,Brewer Park,2837
P7,Bronson Ave & University Dr,8768,8707,Brewer Park,8972
P5,Stadium Way,2160,2099,Brewer Park,2267
P5,Stadium Way,2270,2209,Brewer Park,2373
P5,Stadium Way,1080,1019,Brewer Park,1188
P7,Colonel By,8413,8352,Hogs Back Plaza (SW dest.),8588
P4,Stadium Way,4183,4122,Brewer Park,4292
