lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Stadium Way,5669,5608,Brewer Park,5775
P7,Colonel By,11876,11815,Brewer Park,12671
P5,Stadium Way,1590,1529,Brewer Park,1705
P7,Stadium Way,8660,8599,Brewer Park,8772
P1,Colonel By,156,95,Hogs Back Plaza (SW dest.),341
P7,Stadium Way,12763,12702,Brewer Park,12876
P3,Raven Rd emergency,393,332,Brewer Park,902
P7,Stadium Way,11589,11528,Brewer Park,11693
P5,Stadium Way,2703,2642,Brewer Park,2814
P7,Stadium Way,11035,10974,Brewer Park,11144
P7,Stadium Way,11108,11047,Brewer Park,11220
P5,Stadium Way,1613,1552,Brewer Park,1726
P5,Stadium Way,382,321,Brewer Park,485
P7,Stadium Way,9517,9456,Brewer Park,9630
P3,Raven Rd emergency,1113,1052,Brewer Park,1722
P7,Stadium Way,11711,11650,Brewer Park,11820
P5,Stadium Way,3817,3756,Brewer Park,3924
P7,Colonel By,9977,9916,Brewer Park,10730
P5,Stadium Way,157,96,Brewer Park,188
P6,Stadium Way,4359,4298,Brewer Park,4474
P3,Raven Rd emergency,346,285,Brewer Park,776
P6,Stadium Way,4025,3964,Brewer Park,4131
P7,Stadium Way,8382,8321,Brewer Park,8487
P5,Stadium Way,2761,2700,Brewer Park,2871
P2,Colonel By,645,584,Hogs Back Plaza (SW dest.),1119
P3,Raven Rd emergency,109,48,Brewer Park,213
P5,Stadium Way,3130,3069,Brewer Park,3239
P5,Stadium Way,2427,2366,Brewer Park,2539
P7,Stadium Way,10575,10514,Brewer Park,10681
P3,Raven Rd emergency,238,177,Brewer Park,494
P7,Stadium Way,9004,8943,Brewer Park,9116
P5,Stadium Way,3284,3223,Brewer Park,3390
P2,Colonel By,556,495,Hogs Back Plaza (SW dest.),965
P5,Stadium Way,3620,3559,Brewer Park,3735
P7,Stadium Way,12162,12101,Brewer Park,12274
P6,Stadium Way,5461,5400,Brewer Park,5567
P7,Stadium Way,12124,12063,Brewer Park,12239
P3,Raven Rd emergency,861,800,Brewer Park,1460
P6,Stadium Way,7616,7555,Brewer Park,7728
P7,Stadium Way,11943,11882,Brewer Park,12051
P5,Stadium Way,2050,1989,Brewer Park,2156
P7,Stadium Way,10363,10302,Brewer Park,10468
P7,Stadium Way,8905,8844,Brewer Park,9016
P5,Stadium Way,2154,2093,Brewer Park,2260
P7,Stadium Way,9584,9523,Brewer Park,9698
P4,Stadium Way,4183,4122,Brewer Park,4293
P1,Colonel By,194,133,Hogs Back Plaza (SW dest.),392
P7,Stadium Way,9745,9684,Brewer Park,9859
P5,Stadium Way,2303,2242,Brewer Park,2402
P5,Stadium Way,2380,2319,Brewer Park,2494
P5,Stadium Way,2010,1949,Brewer Park,2123
P7,Colonel By,11821,11760,Brewer Park,12615
P5,Stadium Way,2550,2489,Brewer Park,2656
P1,Colonel By,471,410,Hogs Back Plaza (SW dest.),747
P3,Raven Rd emergency,159,98,Brewer Park,311
P5,Stadium Way,3761,3700,Brewer Park,3871
P5,Stadium Way,1730,1669,Brewer Park,1847
P6,Stadium Way,7739,7678,Brewer Park,7847
P6,Stadium Way,7871,7810,Brewer Park,7983
P6,Stadium Way,6336,6275,Brewer Park,6443
P5,Stadium Way,3798,3737,Brewer Park,3902
P7,Stadium Way,9936,9875,Brewer Park,10043
P5,Stadium Way,888,827,Brewer Park,996
P5,Stadium Way,1017,956,Brewer Park,1127
P5,Stadium Way,3805,3744,Brewer Park,3911
P7,Stadium Way,9415,9354,Brewer Park,9525
P4,Stadium Way,4793,4732,Brewer Park,4908
P7,Stadium Way,8320,8259,Brewer Park,8429
P5,Stadium Way,2413,2352,Brewer Park,2530
P7,Stadium Way,11071,11010,Brewer Park,11181
P7,Stadium Way,10982,10921,Brewer Park,11094
P3,Raven Rd emergency,183,122,Brewer Park,355
P4,Stadium Way,3067,3006,Brewer Park,3177
P3,Raven Rd emergency,377,316,Brewer Park,841
P6,Stadium Way,6057,5996,Brewer Park,6166
P5,Stadium Way,2426,2365,Brewer Park,2535
P6,Stadium Way,8079,8018,Brewer Park,8189
P6,Stadium Way,8260,8199,Brewer Park,8367
P7,Colonel By,10026,9965,Brewer Park,10786
P7,Colonel By,10166,10105,Brewer Park,10945
P7,Stadium Way,9325,9264,Brewer Park,9426
P4,Stadium Way,4619,4558,Brewer Park,4730
P1,Colonel By,362,301,Hogs Back Plaza (SW dest.),616
P2,Colonel By,656,595,Hogs Back Plaza (SW dest.),1136
P1,Colonel By,467,406,Hogs Back Plaza (SW dest.),743
P6,Stadium Way,5907,5846,Brewer Park,6021
P1,Colonel By,441,380,Hogs Back Plaza (SW dest.),704
P7,Stadium Way,9304,9243,Brewer Park,9407
P5,Stadium Way,2928,2867,Brewer Park,3033
P5,Stadium Way,1885,1824,Brewer Park,2000
P7,Stadium Way,11608,11547,Brewer Park,11715
P5,Stadium Way,2478,2417,Brewer Park,2601
P5,Stadium Way,1864,1803,Brewer Park,1978
P5,Stadium Way,990,929,Brewer Park,1106
P5,Stadium Way,3900,3839,Brewer Park,4000
P7,Stadium Way,9473,9412,Brewer Park,9584
P7,Stadium Way,9308,9247,Brewer Park,9411
P7,Stadium Way,8565,8504,Brewer Park,8678
P7,Colonel By,11615,11554,Brewer Park,12400
P7,Stadium Way,10027,9966,Brewer Park,10136
P7,Stadium Way,4005,3944,Brewer Park,4114
P7,Stadium Way,9420,9359,Brewer Park,9533
P7,Stadium Way,11715,11654,Brewer Park,11825
P7,Stadium Way,11226,11165,Brewer Park,11331
P7,Stadium Way,11092,11031,Brewer Park,11199
P6,Stadium Way,6924,6863,Brewer Park,7038
P5,Stadium Way,2634,2573,Brewer Park,2744
P7,Stadium Way,10541,10480,Brewer Park,10655
P4,Stadium Way,4296,4235,Brewer Park,4414
P5,Stadium Way,2762,2701,Brewer Park,2875
