BE_NUTS3;FT_ENTF21;NULAGX;FT_I
DE112;10;8;0
DE112;10;9;0
DE112;11;1;0
DE112;11;2;1
DE112;11;3;1
DE112;11;4;1
DE112;11;5;1
DE112;11;6;1
DE112;11;7;2
DE112;11;8;0
DE112;11;9;0
DE112;12;1;0
DE112;12;2;1
DE112;12;3;1
DE112;12;4;1
DE112;12;5;1
DE112;12;6;1
DE112;12;7;2
DE112;12;8;0
DE112;12;9;0
DE112;13;1;0
DE112;13;2;1
DE112;13;3;1
DE112;13;4;1
DE112;13;5;1
DE112;13;6;1
DE112;13;7;1
DE112;13;8;0
DE112;13;9;0
DE112;14;1;0
DE112;14;2;0
DE112;14;3;0
DE112;14;4;0
DE112;14;5;0
DE112;14;6;0
DE112;14;7;1
DE112;14;8;0
DE112;14;9;0
DE112;15;1;0
DE112;15;2;0
DE112;15;3;0
DE112;15;4;0
DE112;15;5;0
DE112;15;6;0
DE112;15;7;1
DE112;15;8;0
DE112;15;9;0
DE112;16;1;0
DE112;16;2;0
DE112;16;3;0
DE112;16;4;0
DE112;16;5;0
DE112;16;6;0
DE112;16;7;0
DE112;16;8;0
DE112;16;9;0
DE112;17;1;0
DE112;17;2;0
DE112;17;3;0
DE112;17;4;0
DE112;17;5;0
DE112;17;6;0
DE112;17;7;0
DE112;17;8;0
DE112;17;9;0
DE112;18;1;0
DE112;18;2;0
DE112;18;3;0
DE112;18;4;0
DE112;18;5;0
DE112;18;6;0
DE112;18;7;0
DE112;18;8;0
DE112;18;9;0
DE112;19;1;0
DE112;19;2;0
DE112;19;3;0
DE112;19;4;0
DE112;19;5;0
DE112;19;6;0
DE112;19;7;0
DE112;19;8;0
DE112;19;9;0
DE112;20;1;0
DE112;20;2;0
DE112;20;3;0
DE112;20;4;0
DE112;20;5;0
DE112;20;6;0
DE112;20;7;0
DE112;20;8;0
DE112;20;9;0
DE112;21;1;0
DE112;21;2;0
DE112;21;3;0
DE112;21;4;0
DE112;21;5;0
DE112;21;6;0
DE112;21;7;1
DE112;21;8;0
DE112;21;9;0
DE113;1;1;103
DE113;1;2;325
DE113;1;3;314
DE113;1;4;262
DE113;1;5;339
DE113;1;6;385
DE113;1;7;644
DE113;1;8;50
DE113;1;9;14
DE113;2;1;39
DE113;2;2;123
DE113;2;3;118
DE113;2;4;99
DE113;2;5;128
DE113;2;6;145
DE113;2;7;243
DE113;2;8;19
DE113;2;9;5
DE113;3;1;7
DE113;3;2;23
DE113;3;3;22
DE113;3;4;18
DE113;3;5;24
DE113;3;6;27
DE113;3;7;45
DE113;3;8;3
DE113;3;9;1
DE113;4;1;5
DE113;4;2;15
DE113;4;3;14
DE113;4;4;12
DE113;4;5;15
DE113;4;6;18
DE113;4;7;29
DE113;4;8;2
DE113;4;9;1
DE113;5;1;3
DE113;5;2;10
DE113;5;3;9
DE113;5;4;8
DE113;5;5;10
DE113;5;6;11
DE113;5;7;19
DE113;5;8;1
DE113;5;9;0
DE113;6;1;2
DE113;6;2;7
DE113;6;3;7
DE113;6;4;6
DE113;6;5;7
DE113;6;6;8
DE113;6;7;14
DE113;6;8;1
DE113;6;9;0
DE113;7;1;2
DE113;7;2;5
DE113;7;3;5
DE113;7;4;4
DE113;7;5;5
DE113;7;6;6
DE113;7;7;10
DE113;7;8;1
DE113;7;9;0
DE113;8;1;1
DE113;8;2;3
DE113;8;3;3
DE113;8;4;2
DE113;8;5;3
DE113;8;6;4
DE113;8;7;6
DE113;8;8;0
DE113;8;9;0
DE113;9;1;1
DE113;9;2;2
DE113;9;3;2
DE113;9;4;2
DE113;9;5;3
DE113;9;6;3
DE113;9;7;5
DE113;9;8;0
DE113;9;9;0
DE113;10;1;1
DE113;10;2;2
DE113;10;3;2
DE113;10;4;2
DE113;10;5;2
DE113;10;6;2
DE113;10;7;4
DE113;10;8;0
DE113;10;9;0
DE113;11;1;1
DE113;11;2;2
DE113;11;3;2
DE113;11;4;1
DE113;11;5;2
DE113;11;6;2
DE113;11;7;3
DE113;11;8;0
DE113;11;9;0
DE113;12;1;0
DE113;12;2;1
DE113;12;3;1
DE113;12;4;1
DE113;12;5;1
DE113;12;6;1
DE113;12;7;2
DE113;12;8;0
DE113;12;9;0
DE113;13;1;0
DE113;13;2;1
DE113;13;3;1
DE113;13;4;1
DE113;13;5;1
DE113;13;6;1
DE113;13;7;2
DE113;13;8;0
DE113;13;9;0
DE113;14;1;0
DE113;14;2;1
DE113;14;3;1
DE113;14;4;1
DE113;14;5;1
DE113;14;6;1
DE113;14;7;1
DE113;14;8;0
DE113;14;9;0
DE113;15;1;0
DE113;15;2;0
DE113;15;3;0
DE113;15;4;0
DE113;15;5;0
DE113;15;6;0
DE113;15;7;1
DE113;15;8;0
DE113;15;9;0
DE113;16;1;0
DE113;16;2;0
DE113;16;3;0
DE113;16;4;0
DE113;16;5;0
DE113;16;6;0
DE113;16;7;1
DE113;16;8;0
DE113;16;9;0
DE113;17;1;0
DE113;17;2;0
DE113;17;3;0
DE113;17;4;0
DE113;17;5;0
DE113;17;6;0
DE113;17;7;0
DE113;17;8;0
DE113;17;9;0
DE113;18;1;0
DE113;18;2;0
DE113;18;3;0
DE113;18;4;0
DE113;18;5;0
DE113;18;6;0
DE113;18;7;0
DE113;18;8;0
DE113;18;9;0
DE113;19;1;0
DE113;19;2;0
DE113;19;3;0
DE113;19;4;0
DE113;19;5;0
DE113;19;6;0
DE113;19;7;0
DE113;19;8;0
DE113;19;9;0
DE113;20;1;0
DE113;20;2;0
DE113;20;3;0
DE113;20;4;0
DE113;20;5;0
DE113;20;6;0
DE113;20;7;0
DE113;20;8;0
DE113;20;9;0
DE113;21;1;0
DE113;21;2;0
DE113;21;3;0
DE113;21;4;0
DE113;21;5;0
DE113;21;6;0
DE113;21;7;1
DE113;21;8;0
DE113;21;9;0
DE114;1;1;53
DE114;1;2;168
DE114;1;3;162
DE114;1;4;135
DE114;1;5;175
DE114;1;6;199
DE114;1;7;333
DE114;1;8;26
DE114;1;9;7
DE114;2;1;19
DE114;2;2;60
DE114;2;3;57
DE114;2;4;48
DE114;2;5;62
DE114;2;6;70
DE114;2;7;118
DE114;2;8;9
DE114;2;9;3
DE114;3;1;4
DE114;3;2;12
DE114;3;3;11
DE114;3;4;9
DE114;3;5;12
DE114;3;6;14
DE114;3;7;23
DE114;3;8;2
DE114;3;9;1
DE114;4;1;2
DE114;4;2;8
DE114;4;3;7
DE114;4;4;6
DE114;4;5;8
DE114;4;6;9
DE114;4;7;15
DE114;4;8;1
DE114;4;9;0
DE114;5;1;2
DE114;5;2;5
DE114;5;3;5
DE114;5;4;4
DE114;5;5;5
DE114;5;6;6
DE114;5;7;10
DE114;5;8;1
DE114;5;9;0
DE114;6;1;1
DE114;6;2;4
DE114;6;3;3
DE114;6;4;3
DE114;6;5;4
DE114;6;6;4
DE114;6;7;7
DE114;6;8;1
DE114;6;9;0
DE114;7;1;1
DE114;7;2;2
DE114;7;3;2
DE114;7;4;2
DE114;7;5;3
DE114;7;6;3
DE114;7;7;5
DE114;7;8;0
DE114;7;9;0
DE114;8;1;1
DE114;8;2;2
DE114;8;3;2
DE114;8;4;1
DE114;8;5;2
DE114;8;6;2
DE114;8;7;3
DE114;8;8;0
DE114;8;9;0
DE114;9;1;0
DE114;9;2;1
DE114;9;3;1
DE114;9;4;1
DE114;9;5;1
DE114;9;6;1
DE114;9;7;2
DE114;9;8;0
DE114;9;9;0
DE114;10;1;0
DE114;10;2;1
DE114;10;3;1
DE114;10;4;1
DE114;10;5;1
DE114;10;6;1
DE114;10;7;2
DE114;10;8;0
DE114;10;9;0
DE114;11;1;0
DE114;11;2;1
DE114;11;3;1
DE114;11;4;1
DE114;11;5;1
DE114;11;6;1
DE114;11;7;2
DE114;11;8;0
DE114;11;9;0
DE114;12;1;0
DE114;12;2;1
DE114;12;3;1
