# Scenario 09 — Bronson main exit blocked + Raven emergency; split exits.
# Colonel By: P1, P2. Emergency (Bronson Ave & Raven Rd): P3, P4, P5, P6, P7.
# Baseline deploy timing (same as scenario 01). P5 spawn at P5 & Stadium Way.
lot,startTime,endTime,spawningIntervalInMinutes,spawningAmount,carType,maxSpeed,averageSpeed,trafficCode,startLat,startLon,destLat,destLon,osmRoute,nextTrafficLightPhase,driveMode
P1,6:00,6:09,1,12,Golf,13.89,13.89,german,45.3813098,-75.7006879,45.3792575,-75.7004525,,,3
P2,6:00,6:09,1,12,Golf,13.89,13.89,german,45.3836355,-75.6962699,45.3792575,-75.7004525,,,3
P3,6:00,6:17,1,12,Golf,13.89,13.89,german,45.384003,-75.694052,45.3846,-75.6922,,,3
P4,6:00,6:09,1,12,Golf,13.89,13.89,german,45.3857,-75.6950,45.3846,-75.6922,,,3
P5,6:00,6:59,1,12,Golf,13.89,13.89,german,45.3876035,-75.6950176,45.3846,-75.6922,,,3
P6,6:00,7:16,1,12,Golf,13.89,13.89,german,45.3885825,-75.6970087,45.3846,-75.6922,,,3
P7,6:00,7:32,1,12,Golf,13.89,13.89,german,45.3888841,-75.6962336,45.3846,-75.6922,,,3
