lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Bronson Ave & University Dr,4387,4326,Brewer Park,4847
P7,Bronson Ave & University Dr,11650,11589,Brewer Park,12116
P5,Stadium Way,199,138,Brewer Park,247
P7,Bronson Ave & University Dr,12288,12227,Brewer Park,12761
P1,Colonel By,301,240,Hogs Back Plaza (SW dest.),528
P7,Bronson Ave & University Dr,11563,11502,Brewer Park,12326
P3,Stadium Way,3640,3579,Brewer Park,3749
P7,Bronson Ave & University Dr,11054,10993,Brewer Park,11529
P5,Stadium Way,454,393,Brewer Park,565
P7,Bronson Ave & University Dr,9086,9025,Brewer Park,9552
P7,Bronson Ave & University Dr,9677,9616,Brewer Park,10127
P5,Stadium Way,845,784,Brewer Park,948
P5,Stadium Way,1672,1611,Brewer Park,1766
P7,Bronson Ave & University Dr,8116,8055,Brewer Park,8580
P3,Stadium Way,3846,3785,Brewer Park,3960
P7,Bronson Ave & University Dr,7972,7911,Brewer Park,8440
P5,Stadium Way,2730,2669,Brewer Park,2846
P7,Bronson Ave & University Dr,12478,12417,Brewer Park,12925
P5,Stadium Way,3094,3033,Brewer Park,3200
P6,Bronson Ave & University Dr,7288,7227,Brewer Park,7744
P3,Stadium Way,3607,3546,Brewer Park,3719
P6,Bronson Ave & University Dr,5327,5266,Brewer Park,5808
P7,Bronson Ave & University Dr,8134,8073,Brewer Park,8598
P5,Stadium Way,1811,1750,Brewer Park,1923
P2,Colonel By,586,525,Hogs Back Plaza (SW dest.),1016
P3,Stadium Way,3565,3504,Brewer Park,3674
P5,Stadium Way,313,252,Brewer Park,390
P5,Stadium Way,2868,2807,Brewer Park,2976
P7,Bronson Ave & University Dr,10681,10620,Brewer Park,11154
P3,Stadium Way,3753,3692,Brewer Park,3870
P7,Bronson Ave & University Dr,11586,11525,Brewer Park,12357
P5,Stadium Way,2024,1963,Brewer Park,2125
P2,Colonel By,551,490,Hogs Back Plaza (SW dest.),950
P5,Stadium Way,2478,2417,Brewer Park,2586
P7,Bronson Ave & University Dr,11036,10975,Brewer Park,11500
P6,Bronson Ave & University Dr,7542,7481,Brewer Park,8008
P7,Bronson Ave & University Dr,8149,8088,Brewer Park,8610
P3,Stadium Way,3872,3811,Brewer Park,3983
P6,Bronson Ave & University Dr,4361,4300,Brewer Park,4839
P7,Bronson Ave & University Dr,11501,11440,Brewer Park,11973
P5,Stadium Way,1072,1011,Brewer Park,1191
P7,Bronson Ave & University Dr,12391,12330,Brewer Park,12851
P7,Bronson Ave & University Dr,11753,11692,Brewer Park,12234
P5,Stadium Way,2149,2088,Brewer Park,2255
P7,Bronson Ave & University Dr,9848,9787,Brewer Park,10315
P4,Stadium Way,501,440,Brewer Park,616
P1,Colonel By,355,294,Hogs Back Plaza (SW dest.),590
P7,Bronson Ave & University Dr,11319,11258,Brewer Park,11775
P5,Stadium Way,1457,1396,Brewer Park,1567
P5,Stadium Way,2202,2141,Brewer Park,2300
P5,Stadium Way,2045,1984,Brewer Park,2153
P7,Bronson Ave & University Dr,8384,8323,Brewer Park,8842
P5,Stadium Way,3150,3089,Brewer Park,3261
P1,Colonel By,298,237,Hogs Back Plaza (SW dest.),524
P3,Stadium Way,3881,3820,Brewer Park,3996
P5,Stadium Way,632,571,Brewer Park,737
P5,Stadium Way,349,288,Brewer Park,437
P6,Bronson Ave & University Dr,172,111,Brewer Park,4536
P6,Bronson Ave & University Dr,5461,5400,Brewer Park,5933
P6,Bronson Ave & University Dr,5331,5270,Brewer Park,5816
P5,Stadium Way,259,198,Brewer Park,318
P7,Bronson Ave & University Dr,10330,10269,Brewer Park,10799
P5,Stadium Way,1751,1690,Brewer Park,1862
P5,Stadium Way,264,203,Brewer Park,327
P5,Stadium Way,530,469,Brewer Park,642
P7,Bronson Ave & University Dr,10141,10080,Brewer Park,10626
P4,Stadium Way,4320,4259,Brewer Park,4428
P7,Bronson Ave & University Dr,8802,8741,Brewer Park,9277
P5,Stadium Way,2440,2379,Brewer Park,2546
P7,Bronson Ave & University Dr,10036,9975,Brewer Park,10519
P7,Bronson Ave & University Dr,8125,8064,Brewer Park,8590
P3,Stadium Way,3599,3538,Brewer Park,3702
P4,Stadium Way,4221,4160,Brewer Park,4335
P3,Stadium Way,3627,3566,Brewer Park,3733
P6,Bronson Ave & University Dr,6366,6305,Brewer Park,6841
P5,Stadium Way,1460,1399,Brewer Park,1559
P6,Bronson Ave & University Dr,5034,4973,Brewer Park,5515
P6,Bronson Ave & University Dr,4778,4717,Brewer Park,5237
P7,Bronson Ave & University Dr,10821,10760,Brewer Park,11297
P7,Bronson Ave & University Dr,11466,11405,Brewer Park,11924
P7,Bronson Ave & University Dr,12534,12473,Brewer Park,12993
P4,Stadium Way,4094,4033,Brewer Park,4203
P1,Colonel By,411,350,Hogs Back Plaza (SW dest.),665
P2,Colonel By,449,388,Hogs Back Plaza (SW dest.),807
P1,Colonel By,163,102,Hogs Back Plaza (SW dest.),353
P6,Bronson Ave & University Dr,6068,6007,Brewer Park,6544
P1,Colonel By,228,167,Hogs Back Plaza (SW dest.),435
P7,Bronson Ave & University Dr,10079,10018,Brewer Park,10556
P5,Stadium Way,393,332,Brewer Park,494
P5,Stadium Way,3130,3069,Brewer Park,3234
P7,Bronson Ave & University Dr,8464,8403,Brewer Park,8930
P5,Stadium Way,557,496,Brewer Park,673
P5,Stadium Way,3111,3050,Brewer Park,3220
P5,Stadium Way,2649,2588,Brewer Park,2760
P5,Stadium Way,1123,1062,Brewer Park,1240
P7,Bronson Ave & University Dr,7919,7858,Brewer Park,8381
P7,Bronson Ave & University Dr,11662,11601,Brewer Park,12129
P7,Bronson Ave & University Dr,11781,11720,Brewer Park,12255
P7,Bronson Ave & University Dr,7953,7892,Brewer Park,8405
P7,Bronson Ave & University Dr,11684,11623,Brewer Park,12479
P7,Bronson Ave & University Dr,8471,8410,Brewer Park,8943
P7,Bronson Ave & University Dr,8235,8174,Brewer Park,8702
P7,Bronson Ave & University Dr,11348,11287,Brewer Park,11815
P7,Bronson Ave & University Dr,10062,10001,Brewer Park,10834
P7,Bronson Ave & University Dr,9685,9624,Brewer Park,10140
P6,Bronson Ave & University Dr,5209,5148,Brewer Park,5682
P5,Stadium Way,194,133,Brewer Park,239
P7,Bronson Ave & University Dr,10132,10071,Brewer Park,10901
P4,Stadium Way,4107,4046,Brewer Park,4220
P5,Stadium Way,2544,2483,Brewer Park,2660
P6,Bronson Ave & University Dr,7879,7818,Brewer Park,8349
P5,Stadium Way,1126,1065,Brewer Park,1244
P5,Stadium Way,848,787,Brewer Park,953
P5,Stadium Way,2586,2525,Brewer Park,2704
P2,Colonel By,571,510,Hogs Back Plaza (SW dest.),992
P7,Bronson Ave & University Dr,10020,9959,Brewer Park,10502
P4,Stadium Way,4193,4132,Brewer Park,4300
P5,Stadium Way,2481,2420,Brewer Park,2590
P5,Stadium Way,814,753,Brewer Park,923
P7,Bronson Ave & University Dr,9116,9055,Brewer Park,9589
P7,Bronson Ave & University Dr,10686,10625,Brewer Park,11161
P7,Bronson Ave & University Dr,11284,11223,Brewer Park,11744
P5,Stadium Way,222,161,Brewer Park,274
P7,Bronson Ave & University Dr,8622,8561,Brewer Park,9092
P6,Bronson Ave & University Dr,7628,7567,Brewer Park,8099
P6,Bronson Ave & University Dr,6974,6913,Brewer Park,7444
P7,Bronson Ave & University Dr,12329,12268,Brewer Park,12805
P6,Bronson Ave & University Dr,7081,7020,Brewer Park,7540
P7,Bronson Ave & University Dr,9309,9248,Brewer Park,9774
P6,Bronson Ave & University Dr,7898,7837,Brewer Park,8368
P7,Bronson Ave & University Dr,9892,9831,Brewer Park,10362
P6,Bronson Ave & University Dr,7029,6968,Brewer Park,7500
P7,Bronson Ave & University Dr,10853,10792,Brewer Park,11323
P4,Stadium Way,4254,4193,Brewer Park,4361
P7,Bronson Ave & University Dr,12202,12141,Brewer Park,12668
P7,Bronson Ave & University Dr,11622,11561,Brewer Park,12405
P4,Stadium Way,4057,3996,Brewer Park,4171
P5,Stadium Way,2067,2006,Brewer Park,2181
P7,Bronson Ave & University Dr,8320,8259,Brewer Park,8783
P1,Colonel By,319,258,Hogs Back Plaza (SW dest.),551
P6,Bronson Ave & University Dr,4299,4238,Brewer Park,4775
P2,Colonel By,645,584,Hogs Back Plaza (SW dest.),1097
P6,Bronson Ave & University Dr,7601,7540,Brewer Park,8060
P7,Bronson Ave & University Dr,10198,10137,Brewer Park,10975
P7,Bronson Ave & University Dr,8918,8857,Brewer Park,9395
P6,Bronson Ave & University Dr,5398,5337,Brewer Park,5867
P6,Bronson Ave & University Dr,5658,5597,Brewer Park,6115
P7,Bronson Ave & University Dr,8670,8609,Brewer Park,9153
P6,Bronson Ave & University Dr,4793,4732,Brewer Park,5263
P6,Bronson Ave & University Dr,6665,6604,Brewer Park,7143
P7,Bronson Ave & University Dr,11288,11227,Brewer Park,11748
P1,Colonel By,202,141,Hogs Back Plaza (SW dest.),401
P5,Stadium Way,2301,2240,Brewer Park,2409
P6,Bronson Ave & University Dr,7271,7210,Brewer Park,7731
P6,Bronson Ave & University Dr,5644,5583,Brewer Park,6106
P4,Stadium Way,4204,4143,Brewer Park,4312
P2,Colonel By,542,481,Hogs Back Plaza (SW dest.),929
P7,Bronson Ave & University Dr,10269,10208,Brewer Park,11055
P4,Stadium Way,4181,4120,Brewer Park,4288
P5,Stadium Way,2291,2230,Brewer Park,2405
P6,Bronson Ave & University Dr,6030,5969,Brewer Park,6495
P7,Bronson Ave & University Dr,9553,9492,Brewer Park,10031
P1,Colonel By,132,71,Hogs Back Plaza (SW dest.),315
P5,Stadium Way,389,328,Brewer Park,489
P6,Bronson Ave & University Dr,272,211,Brewer Park,4671
P7,Bronson Ave & University Dr,9374,9313,Brewer Park,9844
P7,Bronson Ave & University Dr,9759,9698,Brewer Park,10238
P7,Bronson Ave & University Dr,11650,11589,Brewer Park,12430
P7,Bronson Ave & University Dr,10895,10834,Brewer Park,11374
P1,Colonel By,178,117,Hogs Back Plaza (SW dest.),371
P5,Stadium Way,190,129,Brewer Park,235
P6,Bronson Ave & University Dr,4600,4539,Brewer Park,5071
P6,Bronson Ave & University Dr,5737,5676,Brewer Park,6211
P6,Bronson Ave & University Dr,5166,5105,Brewer Park,5636
P7,Bronson Ave & University Dr,8570,8509,Brewer Park,9045
P7,Bronson Ave & University Dr,11577,11516,Brewer Park,12344
P7,Bronson Ave & University Dr,11444,11383,Brewer Park,11914
P6,Bronson Ave & University Dr,4817,4756,Brewer Park,5292
P7,Bronson Ave & University Dr,8954,8893,Brewer Park,9428
