time_s,cars_on_campus,cumulative_spawned,cumulative_exited
323,3001,3200,199
324,3001,3200,199
325,3000,3200,200
326,3000,3200,200
327,3000,3200,200
328,2999,3200,201
329,2998,3200,202
330,2998,3200,202
331,2996,3200,204
332,2996,3200,204
333,2995,3200,205
334,2994,3200,206
335,2994,3200,206
336,2993,3200,207
337,2993,3200,207
338,2992,3200,208
339,2992,3200,208
340,2992,3200,208
341,2992,3200,208
342,2990,3200,210
343,2990,3200,210
344,2989,3200,211
345,2988,3200,212
346,2988,3200,212
347,2987,3200,213
348,2987,3200,213
349,2986,3200,214
350,2985,3200,215
351,2984,3200,216
352,2984,3200,216
353,2983,3200,217
354,2983,3200,217
355,2982,3200,218
356,2981,3200,219
357,2981,3200,219
358,2980,3200,220
359,2979,3200,221
360,2979,3200,221
361,2979,3200,221
362,2978,3200,222
363,2978,3200,222
364,2977,3200,223
365,2977,3200,223
366,2976,3200,224
367,2975,3200,225
368,2974,3200,226
369,2974,3200,226
370,2973,3200,227
371,2972,3200,228
372,2971,3200,229
373,2970,3200,230
374,2970,3200,230
375,2968,3200,232
376,2967,3200,233
377,2965,3200,235
378,2964,3200,236
379,2964,3200,236
380,2963,3200,237
381,2963,3200,237
382,2962,3200,238
383,2959,3200,241
384,2959,3200,241
385,2958,3200,242
386,2958,3200,242
387,2958,3200,242
388,2958,3200,242
389,2956,3200,244
390,2955,3200,245
391,2955,3200,245
392,2953,3200,247
393,2952,3200,248
394,2952,3200,248
395,2950,3200,250
396,2950,3200,250
397,2950,3200,250
398,2950,3200,250
399,2950,3200,250
400,2948,3200,252
401,2948,3200,252
402,2948,3200,252
403,2947,3200,253
404,2947,3200,253
405,2947,3200,253
406,2947,3200,253
407,2946,3200,254
408,2946,3200,254
409,2946,3200,254
410,2946,3200,254
411,2944,3200,256
412,2944,3200,256
413,2943,3200,257
414,2941,3200,259
415,2941,3200,259
416,2940,3200,260
417,2940,3200,260
418,2938,3200,262
419,2937,3200,263
420,2937,3200,263
421,2936,3200,264
422,2935,3200,265
423,2934,3200,266
424,2932,3200,268
425,2932,3200,268
426,2931,3200,269
427,2931,3200,269
428,2930,3200,270
429,2930,3200,270
430,2929,3200,271
431,2929,3200,271
432,2927,3200,273
433,2927,3200,273
434,2926,3200,274
435,2926,3200,274
436,2924,3200,276
437,2924,3200,276
438,2923,3200,277
439,2922,3200,278
440,2922,3200,278
441,2921,3200,279
442,2920,3200,280
443,2919,3200,281
444,2918,3200,282
445,2918,3200,282
446,2918,3200,282
447,2916,3200,284
448,2915,3200,285
449,2913,3200,287
450,2913,3200,287
451,2912,3200,288
452,2912,3200,288
453,2912,3200,288
454,2910,3200,290
455,2910,3200,290
456,2910,3200,290
457,2909,3200,291
458,2908,3200,292
459,2908,3200,292
460,2908,3200,292
461,2908,3200,292
462,2908,3200,292
463,2907,3200,293
464,2907,3200,293
465,2907,3200,293
466,2906,3200,294
467,2906,3200,294
468,2906,3200,294
469,2906,3200,294
470,2906,3200,294
471,2906,3200,294
472,2905,3200,295
473,2905,3200,295
474,2905,3200,295
475,2904,3200,296
476,2904,3200,296
477,2904,3200,296
478,2903,3200,297
479,2903,3200,297
480,2902,3200,298
481,2901,3200,299
482,2900,3200,300
483,2900,3200,300
484,2899,3200,301
485,2899,3200,301
486,2899,3200,301
487,2898,3200,302
488,2897,3200,303
489,2897,3200,303
490,2896,3200,304
491,2895,3200,305
492,2895,3200,305
493,2894,3200,306
494,2892,3200,308
495,2892,3200,308
496,2892,3200,308
497,2890,3200,310
498,2889,3200,311
499,2889,3200,311
500,2889,3200,311
501,2887,3200,313
502,2887,3200,313
503,2887,3200,313
504,2886,3200,314
505,2885,3200,315
506,2885,3200,315
507,2884,3200,316
508,2884,3200,316
509,2883,3200,317
510,2883,3200,317
511,2882,3200,318
512,2881,3200,319
513,2881,3200,319
514,2880,3200,320
515,2879,3200,321
516,2879,3200,321
517,2878,3200,322
518,2878,3200,322
519,2877,3200,323
520,2877,3200,323
521,2877,3200,323
522,2876,3200,324
523,2876,3200,324
524,2874,3200,326
525,2873,3200,327
526,2873,3200,327
527,2872,3200,328
528,2871,3200,329
529,2871,3200,329
530,2870,3200,330
531,2869,3200,331
532,2869,3200,331
533,2869,3200,331
534,2867,3200,333
535,2866,3200,334
536,2864,3200,336
537,2864,3200,336
538,2864,3200,336
539,2864,3200,336
540,2862,3200,338
541,2862,3200,338
542,2860,3200,340
543,2859,3200,341
544,2859,3200,341
545,2859,3200,341
546,2858,3200,342
547,2858,3200,342
548,2857,3200,343
549,2857,3200,343
550,2856,3200,344
551,2854,3200,346
552,2854,3200,346
553,2854,3200,346
554,2854,3200,346
555,2852,3200,348
556,2852,3200,348
557,2850,3200,350
558,2850,3200,350
559,2849,3200,351
560,2848,3200,352
561,2847,3200,353
562,2846,3200,354
563,2845,3200,355
564,2845,3200,355
565,2844,3200,356
566,2844,3200,356
567,2844,3200,356
568,2843,3200,357
569,2842,3200,358
570,2841,3200,359
571,2839,3200,361
572,2839,3200,361
573,2839,3200,361
574,2838,3200,362
575,2838,3200,362
576,2837,3200,363
577,2837,3200,363
578,2836,3200,364
579,2836,3200,364
580,2836,3200,364
581,2836,3200,364
582,2834,3200,366
583,2834,3200,366
584,2833,3200,367
585,2833,3200,367
586,2832,3200,368
587,2832,3200,368
588,2831,3200,369
589,2831,3200,369
590,2830,3200,370
591,2830,3200,370
592,2829,3200,371
593,2828,3200,372
594,2828,3200,372
595,2827,3200,373
596,2825,3200,375
597,2824,3200,376
598,2824,3200,376
599,2823,3200,377
600,2823,3200,377
601,2822,3200,378
602,2821,3200,379
603,2821,3200,379
604,2819,3200,381
605,2818,3200,382
606,2817,3200,383
607,2816,3200,384
608,2816,3200,384
609,2816,3200,384
610,2816,3200,384
611,2815,3200,385
612,2815,3200,385
613,2815,3200,385
614,2815,3200,385
615,2815,3200,385
616,2815,3200,385
617,2815,3200,385
618,2815,3200,385
619,2814,3200,386
620,2813,3200,387
621,2813,3200,387
622,2813,3200,387
623,2813,3200,387
624,2812,3200,388
625,2812,3200,388
626,2810,3200,390
627,2810,3200,390
628,2809,3200,391
629,2809,3200,391
630,2809,3200,391
631,2808,3200,392
632,2807,3200,393
633,2806,3200,394
634,2806,3200,394
635,2804,3200,396
636,2803,3200,397
637,2803,3200,397
638,2803,3200,397
639,2802,3200,398
640,2801,3200,399
641,2800,3200,400
642,2800,3200,400
643,2800,3200,400
644,2799,3200,401
645,2798,3200,402
646,2798,3200,402
647,2797,3200,403
648,2795,3200,405
649,2795,3200,405
650,2794,3200,406
651,2794,3200,406
652,2793,3200,407
653,2793,3200,407
654,2793,3200,407
655,2793,3200,407
656,2793,3200,407
657,2793,3200,407
658,2792,3200,408
659,2792,3200,408
660,2790,3200,410
661,2789,3200,411
662,2789,3200,411
663,2787,3200,413
664,2787,3200,413
665,2787,3200,413
666,2787,3200,413
667,2786,3200,414
668,2786,3200,414
669,2786,3200,414
670,2785,3200,415
671,2785,3200,415
672,2784,3200,416
673,2784,3200,416
674,2784,3200,416
675,2784,3200,416
676,2783,3200,417
677,2783,3200,417
678,2783,3200,417
679,2783,3200,417
680,2783,3200,417
681,2783,3200,417
682,2782,3200,418
683,2782,3200,418
684,2782,3200,418
685,2782,3200,418
686,2781,3200,419
687,2781,3200,419
688,2781,3200,419
689,2781,3200,419
690,2781,3200,419
691,2781,3200,419
692,2781,3200,419
693,2781,3200,419
694,2781,3200,419
695,2781,3200,419
696,2781,3200,419
697,2780,3200,420
698,2780,3200,420
699,2779,3200,421
700,2779,3200,421
701,2779,3200,421
702,2778,3200,422
703,2778,3200,422
704,2778,3200,422
705,2778,3200,422
706,2778,3200,422
707,2778,3200,422
708,2778,3200,422
709,2778,3200,422
710,2778,3200,422
711,2778,3200,422
712,2778,3200,422
713,2777,3200,423
714,2777,3200,423
715,2776,3200,424
716,2776,3200,424
717,2775,3200,425
718,2775,3200,425
719,2774,3200,426
720,2774,3200,426
