line,station_id,minutes
61,80984,0
61,80980,5
61,80989,5
61,52981,9
61,53990,3
61,52981,3
61,80989,12
61,80980,4
61,80984,8
62,80984,0
62,80980,3
62,80989,4
62,52982,4
62,52980,5
62,51980,19
62,52980,3
62,52982,7
62,80989,5
62,80980,4
62,80984,9
64,51980,0
64,51981,5
64,80981,13
64,51981,3
64,51980,5
72,80984,0
72,80932,8
72,53989,4
72,80984,6
73,80984,0
73,53992,3
73,53986,9
73,39341,8
73,53986,3
73,53992,9
73,80984,3
75,80984,0
75,53988,7
75,80984,5

