"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"9149_3",61,"122","Hauptbahnhof / ZOB > %SB Tiefstack > Fünfhausen > Reitbrook > Bf. Bergedorf",3,"#ff0000","#ff0000",""
"9148_702",61,"X32","%UB%SB Wandsbeker Chaussee > %UB Wandsbek Markt > %UB Horner Rennbahn > Bf. Bergedorf",702,"#ff0000","#ff0000",""
"9147_702",61,"X30","%SB Harburg Rathaus > Bf. Harburg > %SB Nettelnburg > Bf. Bergedorf",702,"#ff0000","#ff0000",""
"9146_702",61,"X3","Schenefelder Platz > Bahrenfeld > %SB Holstenstraße > %UB Feldstraße > %UB Messberg",702,"#ff0000","#ff0000",""
"8864_3",61,"588","Elbuferweg  >  %SB Blankenese",3,"#ff0000","#ff0000",""
"8863_3",61,"488","Ring:  %SB Blankenese  >  Strandweg  >  Waseberg  >  %SB Blankenese",3,"#ff0000","#ff0000",""
"8862_3",61,"388","Rissen, Falkensteiner Ufer > Rissen > %SB Rissen",3,"#ff0000","#ff0000",""
"8775_3",34,"6500","Raa-Besenbek, Achtern Knick - Bf. Elmshorn - Kölln-Reisiek",3,"#ff0000","#ff0000",""
"8773_3",34,"6668","Esingen > Bf. Tornesch > Gewerbegebiet Oha > Ellerhoop",3,"#ff0000","#ff0000",""
"8772_3",34,"6667","Uetersen, Buttermarkt  >  Heidgraben  >  Bf. Tornesch",3,"#ff0000","#ff0000",""
"8770_3",34,"6663","Uetersen  >  Moorrege  >  Appen  >  Bf. Pinneberg",3,"#ff0000","#ff0000",""
"8769_3",34,"6661","Uetersen, Buttermarkt  > Uetersen, Am Eichholz  >  Bf. Tornesch",3,"#ff0000","#ff0000",""
"8767_3",34,"6544","Barmstedt  >  Hörnerkirchen  >  Osterhorn",3,"#ff0000","#ff0000",""
"8766_3",34,"6543","Barmstedt  >  Bevern  >  Ellerhoop  >  Barmstedt",3,"#ff0000","#ff0000",""
"8765_3",34,"6542","Barmstedt  >  Lutzhorn  >  Bokel  >  Hörnerkirchen",3,"#ff0000","#ff0000",""
"8764_3",34,"6507","Raa-Besenbek  >  Elmshorn",3,"#ff0000","#ff0000",""
