lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P6,Colonel By,2991,2930,Hogs Back Plaza (SW dest.),4051
P7,Bronson Ave & University Dr,7546,7485,Brewer Park,8321
P5,Stadium Way,2092,2031,Brewer Park,2199
P7,Bronson Ave & University Dr,7947,7886,Brewer Park,8742
P1,Colonel By,374,313,Hogs Back Plaza (SW dest.),605
P7,Bronson Ave & University Dr,8505,8444,Brewer Park,8987
P3,Stadium Way,3388,3327,Brewer Park,3492
P7,Bronson Ave & University Dr,8383,8322,Brewer Park,8864
P5,Stadium Way,1640,1579,Brewer Park,1751
P7,Bronson Ave & University Dr,5178,5117,Brewer Park,5653
P7,Bronson Ave & University Dr,7416,7355,Brewer Park,7881
P5,Stadium Way,2559,2498,Brewer Park,2673
P5,Stadium Way,1114,1053,Brewer Park,1219
P7,Bronson Ave & University Dr,6867,6806,Brewer Park,7340
P3,Stadium Way,4004,3943,Brewer Park,4112
P7,Bronson Ave & University Dr,4427,4366,Brewer Park,4896
P5,Stadium Way,892,831,Brewer Park,1002
P7,Bronson Ave & University Dr,6911,6850,Brewer Park,7376
P5,Stadium Way,1879,1818,Brewer Park,1984
P6,Colonel By,791,730,Hogs Back Plaza (SW dest.),1321
P3,Stadium Way,3303,3242,Brewer Park,3420
P6,Colonel By,2939,2878,Hogs Back Plaza (SW dest.),4008
P7,Bronson Ave & University Dr,4260,4199,Brewer Park,4726
P5,Stadium Way,167,106,Brewer Park,191
P2,Colonel By,524,463,Hogs Back Plaza (SW dest.),878
P3,Stadium Way,3139,3078,Brewer Park,3255
P5,Stadium Way,1520,1459,Brewer Park,1626
P5,Stadium Way,694,633,Brewer Park,801
P7,Bronson Ave & University Dr,7457,7396,Brewer Park,7918
P3,Stadium Way,3489,3428,Brewer Park,3596
P7,Bronson Ave & University Dr,4777,4716,Brewer Park,5252
P5,Stadium Way,2819,2758,Brewer Park,2927
P2,Colonel By,512,451,Hogs Back Plaza (SW dest.),861
P5,Stadium Way,1423,1362,Brewer Park,1533
P7,Bronson Ave & University Dr,4936,4875,Brewer Park,5411
P6,Colonel By,991,930,Hogs Back Plaza (SW dest.),1642
P7,Bronson Ave & University Dr,6218,6157,Brewer Park,6998
P3,Stadium Way,3833,3772,Brewer Park,3939
P6,Colonel By,1883,1822,Hogs Back Plaza (SW dest.),2978
P7,Bronson Ave & University Dr,6150,6089,Brewer Park,6636
P5,Stadium Way,2543,2482,Brewer Park,2652
P7,Bronson Ave & University Dr,7874,7813,Brewer Park,8670
P7,Bronson Ave & University Dr,6022,5961,Brewer Park,6486
P5,Stadium Way,1222,1161,Brewer Park,1326
P7,Bronson Ave & University Dr,6058,5997,Brewer Park,6836
P4,Stadium Way,4195,4134,Brewer Park,4309
P1,Colonel By,210,149,Hogs Back Plaza (SW dest.),412
P7,Bronson Ave & University Dr,7578,7517,Brewer Park,8054
P5,Stadium Way,870,809,Brewer Park,976
P5,Stadium Way,2301,2240,Brewer Park,2412
P5,Stadium Way,1499,1438,Brewer Park,1606
P7,Bronson Ave & University Dr,8501,8440,Brewer Park,8978
P5,Stadium Way,821,760,Brewer Park,934
P1,Colonel By,301,240,Hogs Back Plaza (SW dest.),518
P3,Stadium Way,3932,3871,Brewer Park,4048
P5,Stadium Way,2567,2506,Brewer Park,2677
P5,Stadium Way,282,221,Brewer Park,345
P6,Colonel By,3330,3269,Hogs Back Plaza (SW dest.),4407
P6,Colonel By,3820,3759,Hogs Back Plaza (SW dest.),4880
P6,Colonel By,1125,1064,Hogs Back Plaza (SW dest.),1862
P5,Stadium Way,1516,1455,Brewer Park,1622
P7,Bronson Ave & University Dr,7558,7497,Brewer Park,8325
P5,Stadium Way,1648,1587,Brewer Park,1755
P5,Stadium Way,2631,2570,Brewer Park,2744
P5,Stadium Way,807,746,Brewer Park,917
P7,Bronson Ave & University Dr,8559,8498,Brewer Park,9012
P4,Stadium Way,4235,4174,Brewer Park,4348
P7,Bronson Ave & University Dr,5964,5903,Brewer Park,6736
P5,Stadium Way,2456,2395,Brewer Park,2561
P7,Bronson Ave & University Dr,4451,4390,Brewer Park,4917
P7,Bronson Ave & University Dr,6620,6559,Brewer Park,7089
P3,Stadium Way,3271,3210,Brewer Park,3385
P4,Stadium Way,4117,4056,Brewer Park,4229
P3,Stadium Way,3609,3548,Brewer Park,3716
P6,Colonel By,3696,3635,Hogs Back Plaza (SW dest.),4760
P5,Stadium Way,634,573,Brewer Park,745
P6,Colonel By,1676,1615,Hogs Back Plaza (SW dest.),2727
P6,Colonel By,1866,1805,Hogs Back Plaza (SW dest.),2956
P7,Bronson Ave & University Dr,8632,8571,Brewer Park,9079
P7,Bronson Ave & University Dr,5504,5443,Brewer Park,5975
P7,Bronson Ave & University Dr,6682,6621,Brewer Park,7142
P4,Stadium Way,4307,4246,Brewer Park,4418
P1,Colonel By,137,76,Hogs Back Plaza (SW dest.),320
P2,Colonel By,565,504,Hogs Back Plaza (SW dest.),950
P1,Colonel By,371,310,Hogs Back Plaza (SW dest.),601
P6,Colonel By,3406,3345,Hogs Back Plaza (SW dest.),4474
P1,Colonel By,133,72,Hogs Back Plaza (SW dest.),315
P7,Bronson Ave & University Dr,5382,5321,Brewer Park,5841
P5,Stadium Way,2980,2919,Brewer Park,3088
P5,Stadium Way,1313,1252,Brewer Park,1422
P7,Bronson Ave & University Dr,6871,6810,Brewer Park,7345
P5,Stadium Way,2569,2508,Brewer Park,2681
P5,Stadium Way,631,570,Brewer Park,740
P5,Stadium Way,1475,1414,Brewer Park,1580
P5,Stadium Way,2505,2444,Brewer Park,2620
P7,Bronson Ave & University Dr,4758,4697,Brewer Park,5229
P7,Bronson Ave & University Dr,7721,7660,Brewer Park,8190
P7,Bronson Ave & University Dr,7461,7400,Brewer Park,7926
P7,Bronson Ave & University Dr,8377,8316,Brewer Park,8860
P7,Bronson Ave & University Dr,4963,4902,Brewer Park,5432
P7,Bronson Ave & University Dr,7527,7466,Brewer Park,8295
P7,Bronson Ave & University Dr,4989,4928,Brewer Park,5458
P7,Bronson Ave & University Dr,214,153,Brewer Park,4592
P7,Bronson Ave & University Dr,6089,6028,Brewer Park,6863
P7,Bronson Ave & University Dr,7712,7651,Brewer Park,8503
P6,Colonel By,2207,2146,Hogs Back Plaza (SW dest.),3301
P5,Stadium Way,1509,1448,Brewer Park,1618
P7,Bronson Ave & University Dr,6249,6188,Brewer Park,6723
P4,Stadium Way,4034,3973,Brewer Park,4143
