time,Library Rd & P1 to Library Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & University Dr to Library Rd & P1,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & University Dr to Library Rd & University Dr,Library Rd & University Dr to Campus Ave & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P3 & Raven Rd,P3 & Raven Rd to Raven Rd & University Dr,P3 & Raven Rd to Bronson Ave & Raven Rd,Library Rd & University Dr to Colonel By Dr & University Dr,Raven Rd & University Dr to P4 & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,Stadium Way & University Dr to P4 & University Dr,Stadium Way & University Dr to P5 & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,Stadium Way & University Dr to Roundabout,Roundabout to Stadium Way & University Dr,Roundabout to Bronson Ave & University Dr,Roundabout to Campus Ave & P6,Campus Ave & P6 to Roundabout,Campus Ave & P6 to Campus Ave & Library Rd,Raven Rd & University Dr to Bronson Ave & Raven Rd
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.59175012485647,0.0,0.0,0.0,20.730364433462405,0.0,0.9145323803954863,0.0,0.0,0.0,135.52545542615093,0.0,0.0,10.616366094736422,24.939428189121852,0.0,0.0,0.0
80.0,29.37105539007155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82736377257069,0.0,0.0,0.0,22.211104750138293,0.0,1.8290647607909727,0.0,0.0,0.0,141.85349225538755,0.0,0.0,15.570670272280086,36.86698080131056,0.0,0.0,0.0
90.0,32.3081609290787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.062977420284916,0.0,0.0,0.0,21.223944539021037,0.0,2.743597141186459,0.0,0.0,0.0,148.18152908462415,0.0,0.0,18.401701230876466,52.047502307732564,0.0,0.0,0.0
100.0,33.28719610874776,0.0,0.0,0.0,0.0,0.0,0.19347435858194803,0.0,0.0,0.0,44.22005318542774,0.0,0.0,0.0,19.74320422234515,0.0,4.115395711779688,0.0,0.0,0.0,150.2908746943697,0.0,0.0,22.648247668771035,62.89073195517685,0.0,0.0,0.0
110.0,33.776713698582284,0.0,0.0,0.0,0.0,0.0,0.7738974343277921,0.0,0.0,0.0,44.759322126713435,0.0,0.0,2.9104777148277132,19.24962411678652,0.0,4.115395711779688,0.0,3.4106947641893877,0.0,150.8182110968061,0.0,0.0,24.063763148069224,65.05937788466571,0.0,0.5760435061678969,0.0
120.0,32.79767851891323,0.0,0.0,0.0,0.0,0.0,1.3543205100736362,0.0,0.0,0.0,45.837860009284846,0.0,0.0,8.73143314448314,18.262463905669264,0.0,5.487194282372918,0.0,1.7053473820946938,0.0,153.45489310898802,0.0,0.0,24.063763148069224,62.89073195517685,0.0,1.4401087654197422,0.0
130.0,31.81864333924418,0.0,0.0,0.0,0.0,0.0,1.5477948686555842,0.0,0.0,0.0,45.837860009284846,0.0,0.0,14.552388574138567,18.756044011227893,0.0,5.029928092175175,0.0,3.4106947641893877,0.0,156.09157512116994,0.0,0.0,24.771520887718317,63.97505491992128,0.0,2.016152271587639,0.0
140.0,30.83960815957513,0.0,0.0,0.0,0.0,0.0,2.1282179444014284,0.0,0.0,0.0,45.837860009284846,0.0,0.0,17.46286628896628,18.756044011227893,0.0,5.029928092175175,0.0,5.116042146284081,0.0,158.72825713335186,0.0,0.0,25.479278627367414,61.806408990432416,0.0,2.5921957777555362,0.0
150.0,29.860572979906074,0.0,0.0,0.0,0.0,0.0,2.9021153787292207,0.0,0.0,0.0,46.37712895057055,0.0,0.0,20.373344003793992,18.262463905669264,0.0,5.944460472570661,0.0,3.4106947641893877,0.0,160.8376027430974,0.0,0.0,24.771520887718317,62.89073195517685,0.0,3.168239283923433,0.0
160.0,28.881537800237023,0.0,0.0,0.0,0.0,0.0,3.4825384544750646,0.0,0.0,0.0,46.37712895057055,0.0,0.0,23.283821718621706,17.275303694552004,0.0,6.401726662768404,0.0,5.116042146284081,0.0,163.4742847552793,0.0,0.0,24.771520887718317,61.806408990432416,0.0,3.168239283923433,0.0
170.0,27.412985030733445,0.0,0.0,0.0,0.0,0.0,4.062961530220909,0.0,0.0,0.0,45.29859106799914,0.0,0.0,26.19429943344942,17.275303694552004,0.0,7.316259043163891,0.0,5.116042146284081,0.0,167.16563957233402,0.0,0.0,24.771520887718317,62.89073195517685,0.0,3.168239283923433,0.0
180.0,25.944432261229867,0.0,0.0,0.0,0.0,0.0,4.836858964548701,0.0,0.0,0.0,45.29859106799914,0.0,0.0,26.19429943344942,16.781723588993376,0.0,7.316259043163891,0.0,5.116042146284081,0.0,169.80232158451594,0.0,0.0,24.771520887718317,62.89073195517685,0.0,3.4562610370073816,0.0
190.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,5.417282040294545,0.0,0.0,0.0,44.759322126713435,0.0,0.0,29.104777148277133,16.288143483434748,0.0,7.316259043163891,0.0,6.821389528378775,0.0,171.3843307918251,0.0,0.0,24.771520887718317,63.97505491992128,0.0,3.4562610370073816,0.0
200.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,5.99770511604039,0.0,0.0,0.0,44.22005318542774,0.0,0.0,29.104777148277133,16.288143483434748,0.0,7.316259043163891,0.0,10.232084292568162,0.0,171.91166719426147,0.0,0.0,24.771520887718317,61.806408990432416,0.0,4.032304543175278,0.0
210.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,6.5781281917862335,0.0,0.0,0.0,44.759322126713435,0.0,0.0,29.104777148277133,15.300983272317492,0.0,8.68805761375712,0.0,13.64277905675755,0.0,172.43900359669786,0.0,0.0,24.771520887718317,61.806408990432416,0.0,4.032304543175278,0.0
220.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,7.1585512675320775,0.0,0.0,0.0,44.22005318542774,0.0,0.0,29.104777148277133,15.300983272317492,0.0,10.05985618435035,0.0,13.64277905675755,0.0,173.49367640157064,0.0,0.0,25.479278627367414,61.806408990432416,0.0,3.4562610370073816,0.0
230.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,7.738974343277921,0.0,0.0,0.0,44.759322126713435,0.0,0.0,32.01525486310485,14.807403166758862,0.0,10.05985618435035,0.0,15.348126438852244,0.0,173.49367640157064,0.0,0.0,27.602551846314697,60.722086025687986,0.0,3.168239283923433,0.0
240.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,8.512871777605714,0.0,0.0,0.0,44.759322126713435,0.0,0.0,32.01525486310485,14.313823061200234,0.0,11.888920945141322,0.0,15.348126438852244,0.0,173.49367640157064,0.0,0.0,29.725825065261983,60.722086025687986,0.0,3.74428279009133,0.0
250.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,8.89982049476961,0.0,0.0,0.0,45.29859106799914,0.0,0.0,26.19429943344942,13.326662850082975,0.0,13.717985705932294,0.0,15.348126438852244,0.0,174.54834920644342,0.0,0.0,31.141340544560173,62.89073195517685,0.0,3.168239283923433,0.0
260.0,24.475879491726293,0.0,0.0,0.0,0.0,0.0,9.673717929097402,0.0,0.0,0.0,45.837860009284846,0.0,0.0,26.19429943344942,12.833082744524347,0.0,15.089784276525524,0.0,15.348126438852244,0.0,174.02101280400703,0.0,0.0,33.264613763507455,65.05937788466571,0.0,4.032304543175278,0.0
270.0,25.454914671395343,0.0,0.0,0.0,0.0,0.0,10.254141004843246,0.0,0.0,0.0,45.29859106799914,0.0,0.0,23.283821718621706,13.326662850082975,0.0,16.461582847118752,0.0,15.348126438852244,0.0,174.02101280400703,0.0,0.0,36.095644722103835,62.89073195517685,0.0,4.896369802427124,0.0
280.0,24.965397081560816,0.0,0.0,0.0,0.0,0.0,10.641089722007143,0.0,0.0,0.0,44.759322126713435,0.0,0.0,26.19429943344942,15.300983272317492,0.0,16.461582847118752,0.0,15.348126438852244,0.0,173.49367640157064,0.0,0.0,38.21891794105112,62.89073195517685,0.0,5.760435061678969,0.0
290.0,23.496844312057238,0.0,0.0,0.0,0.0,0.0,11.221512797752986,0.0,0.0,0.0,44.22005318542774,0.0,0.0,26.19429943344942,17.275303694552004,0.0,16.461582847118752,0.0,15.348126438852244,0.0,173.49367640157064,0.0,0.0,41.0499488996475,62.89073195517685,0.0,6.624500320930815,0.0
300.0,22.028291542553664,0.0,0.0,0.0,0.0,0.0,11.80193587349883,0.0,0.0,0.0,43.68078424414203,0.0,0.0,26.19429943344942,19.24962411678652,0.0,16.461582847118752,0.0,15.348126438852244,0.0,173.49367640157064,0.0,0.0,41.0499488996475,66.14370084941012,0.0,7.776587333266608,0.0
310.0,21.04925636288461,0.0,0.0,0.0,0.0,0.0,12.382358949244674,0.0,0.0,0.0,43.68078424414203,0.0,0.0,29.104777148277133,20.730364433462405,0.0,16.461582847118752,0.0,15.348126438852244,0.0,172.96633999913425,0.0,0.0,41.0499488996475,69.39666974364341,0.0,8.640652592518453,0.0
320.0,20.559738773050086,0.0,0.0,0.0,0.0,0.0,12.76930766640857,0.0,0.0,0.0,42.062977420284916,0.0,0.0,26.19429943344942,22.70468485569692,0.0,16.461582847118752,0.0,15.348126438852244,0.0,172.96633999913425,0.0,0.0,41.0499488996475,69.39666974364341,0.0,9.504717851770298,0.0
